measure,pot,trt,geno,combo,rep,tcid,parent,block,SM,Anet5_0907,gs5_0907,fo5_0907,fm5_0907,fv5_0907,E5_0907,WUEi5_0907,Anet6_0913,gs6_0913,fo6_0913,fm6_0913,fv6_0913,E6_0913,WUEi6_0913,Anet7_0920,gs7_0920,fo7_0920,fm7_0920,fv7_0920,E7_0920,WUEi7_0920,Anet8_0925,gs8_0925,fo8_0925,fm8_0925,fv8_0925,E8_0925,WUEi8_0925,Anet9_1004,gs9_1004,fo9_1004,fm9_1004,fv9_1004,E9_1004,WUEi9_1004,Anet10_1011,gs10_1011,fo10_1011,fm10_1011,fv10_1011,E10_1011,WUEi10_1011,uAnet,ugs,ufo,ufm,ufv,uE,uWUEi
physiology,1,30,1,5,6,167.5,167,L,700.8,15.2,0.102,42.9,175.2,0.755,3.38,4.49704142,29.2,0.16,57.9,246.8,0.765,5.62,5.195729537,21.7,0.299,65.1,272.4,0.761,1.15,18.86956522,18.4,0.191,63.9,242.2,0.736,8.62,2.134570766,14.7,0.0921,64.3,259.5,0.752,1.93,7.616580311,28.5,0.2,56.6,233.3,0.758,4.92,5.792682927,21.28333333,0.174016667,58.45,238.2333333,0.7545,4.27,7.351028363
physiology,2,30,3,15,3,183.2,183,H,864.6,28.3,0.134,30.2,126.2,0.761,4.22,6.706161137,22.8,0.145,36.8,131.6,0.72,5.31,4.293785311,16.7,0.446,74.7,269.6,0.723,2.63,6.349809886,14.5,0.0829,75.3,251.8,0.701,4.27,3.395784543,7.35,0.048,71.4,290.1,0.754,1.28,5.7421875,27.4,0.169,83.3,367.9,0.774,4.36,6.28440367,19.50833333,0.170816667,61.95,239.5333333,0.738833333,3.678333333,5.462022008
physiology,4,30,2,10,1,226.1,226,C,1367.1,25,0.115,44.4,173,0.743,3.82,6.544502618,23.6,0.119,38.8,164,0.763,4.41,5.351473923,13.4,0.335,73.8,285.4,0.741,7,1.914285714,19.4,0.115,81.5,314.1,0.74,5.94,3.265993266,10.9,0.0801,71.2,281.3,0.747,2.09,5.215311005,23.4,0.123,81.7,345.2,0.763,3.25,7.2,19.28333333,0.14785,65.23333333,260.5,0.7495,4.418333333,4.915261088
physiology,8,20,1,3,1,166.1,166,L,659.1,15.3,0.0987,18.1,74.7,0.758,3.27,4.678899083,9.27,0.0868,74.2,323.7,0.771,3.13,2.961661342,17.6,0.324,49.1,204.6,0.76,7.04,2.5,19.6,0.157,72.2,287.7,0.749,7.8,2.512820513,22.6,0.133,79.4,336.2,0.764,3.34,6.766467066,16.1,0.0848,68.9,295.2,0.767,2.22,7.252252252,16.745,0.147383333,60.31666667,253.6833333,0.7615,4.466666667,4.445350043
physiology,12,10,2,6,4,247.4,247,L,1777.1,20.2,0.107,38.2,146.3,0.739,3.81,5.30183727,8.24,0.0387,39.1,141.7,0.724,1.49,5.530201342,12.2,0.115,64.1,228.2,0.719,2.72,4.485294118,5.39,0.0432,59.3,180.4,0.671,2.52,2.138888889,13.8,0.0847,55,217.1,0.747,2.21,6.244343891,8.35,0.0381,47,187.7,0.749,0.981,8.511722732,11.36333333,0.071116667,50.45,183.5666667,0.724833333,2.2885,5.368714707
physiology,15,30,1,5,7,259.6,259,D,251.1,13.8,0.0968,36.3,147.6,0.754,3.3,4.181818182,12.1,0.082,49.4,193.5,0.745,3.18,3.805031447,11.8,0.17,59.3,237.4,0.75,4.24,2.783018868,12.6,0.112,55.3,193.4,0.714,6,2.1,8.24,0.105,61.4,233.6,0.737,2.75,2.996363636,20.9,0.119,63.9,269.6,0.763,2.74,7.627737226,13.24,0.114133333,54.26666667,212.5166667,0.743833333,3.701666667,3.91566156
physiology,22,30,1,5,4,259.4,259,D,947.5,13.3,0.0735,41.7,163.8,0.746,2.51,5.298804781,22.1,0.163,49.8,197.4,0.748,5.8,3.810344828,17.3,0.183,53,194.8,0.728,4.72,3.665254237,6.27,0.0603,54,191.8,0.718,3.56,1.761235955,5.05,0.159,74.2,300.2,0.753,4.08,1.237745098,19.5,0.182,59.9,242.7,0.753,3.78,5.158730159,13.92,0.1368,55.43333333,215.1166667,0.741,4.075,3.488685843
physiology,25,25,1,4,1,252.1,252,D,1873.4,11.2,0.0534,51,198.5,0.743,1.92,5.833333333,10.7,0.0662,73.7,313.4,0.765,2.55,4.196078431,23,0.119,99.4,438.6,0.773,3.14,7.324840764,32,0.226,94.3,400.1,0.764,10.4,3.076923077,9.52,0.146,85.1,335.8,0.746,3.9,2.441025641,18.8,0.158,84.7,367.1,0.769,3.31,5.679758308,17.53666667,0.1281,81.36666667,342.25,0.76,4.203333333,4.758659926
physiology,28,15,3,12,7,183.4,183,H,1138.5,16.3,0.0972,51.1,225.5,0.774,3.53,4.617563739,7.31,0.0333,44.5,180.6,0.754,1.36,5.375,22.8,0.159,69.8,310.9,0.775,4.21,5.41567696,16.2,0.0963,76.6,298,0.743,5.54,2.924187726,16.4,0.0838,94.9,379.9,0.75,2.41,6.804979253,17.4,0.0748,84,358.5,0.766,1.7,10.23529412,16.06833333,0.090733333,70.15,292.2333333,0.760333333,3.125,5.895450299
physiology,36,30,1,5,1,157.1,157,E,1623.7,11.1,0.0689,39.3,151.8,0.741,2.46,4.512195122,19.9,0.126,38.3,138.3,0.723,4.71,4.225053079,16.4,0.132,42.4,179.6,0.764,3.56,4.606741573,16.5,0.136,48.5,198.7,0.756,7.43,2.220726783,12,0.103,63,245.6,0.744,2.98,4.026845638,19.4,0.13,70.7,287.3,0.754,2.75,7.054545455,15.88333333,0.115983333,50.36666667,200.2166667,0.747,3.981666667,4.441017941
physiology,37,30,3,15,6,183.5,183,H,1125.8,21.5,0.124,32.9,134.8,0.756,4.36,4.931192661,14,0.0814,54.5,231.5,0.765,3.21,4.361370717,10.6,0.076,70.1,236.2,0.703,2.09,5.071770335,10,0.0635,64.9,192.9,0.664,3.92,2.551020408,12.4,0.0612,70.7,283.5,0.751,1.9,6.526315789,23.2,0.106,76.3,342.8,0.777,2.29,10.13100437,15.28333333,0.08535,61.56666667,236.95,0.736,2.961666667,5.595445713
physiology,39,30,2,10,5,200.5,200,D,2714.3,21.5,0.118,54.1,224.7,0.759,4.2,5.119047619,8.36,0.0544,53.5,228.4,0.766,2.14,3.906542056,15.2,0.0871,69.8,266.5,0.738,2.39,6.359832636,17.8,0.0847,70.3,259.8,0.729,4.93,3.610547667,7.01,0.0472,72.1,274,0.737,1.48,4.736486486,22.6,0.13,87.7,375,0.766,2.88,7.847222222,15.41166667,0.0869,67.91666667,271.4,0.749166667,3.003333333,5.263279781
physiology,44,30,1,5,5,258.4,258,E,498.2,4.97,0.0841,24.9,95.7,0.74,2.99,1.662207358,14,0.0758,36.9,147.9,0.751,3.03,4.620462046,22.9,0.155,50.2,209.7,0.76,4.26,5.375586854,16.1,0.13,53,206.7,0.744,7.13,2.258064516,3.13,0.0956,45,169.1,0.734,2.8,1.117857143,20.6,0.155,73.3,309.2,0.763,3.66,5.628415301,13.61666667,0.115916667,47.21666667,189.7166667,0.748666667,3.978333333,3.443765536
physiology,47,20,1,3,7,157.7,157,E,638.1,13,0.0937,38.3,160.8,0.762,3.31,3.927492447,23,0.123,57.4,212.9,0.73,4.69,4.904051173,31.4,0.174,50.2,207.4,0.758,4.81,6.528066528,17.3,0.17,50.7,198.6,0.745,8.87,1.950394589,14.5,0.143,78,319.2,0.756,4.19,3.460620525,12.2,0.102,87.9,369.9,0.762,2.69,4.535315985,18.56666667,0.134283333,60.41666667,244.8,0.752166667,4.76,4.217656874
physiology,50,25,2,9,5,244.5,244,C,1057.5,13.6,0.0749,32.3,125.7,0.743,2.84,4.788732394,13,0.0716,33.4,124.3,0.732,2.88,4.513888889,25.6,0.143,47,201.3,0.767,4.01,6.3840399,30.8,0.173,64.8,250.4,0.741,9.25,3.32972973,23.4,0.13,84.8,332.3,0.745,3.83,6.109660574,24.5,0.118,100.6,424.8,0.763,3.12,7.852564103,21.81666667,0.118416667,60.48333333,243.1333333,0.7485,4.321666667,5.496435932
physiology,51,20,2,8,4,231.3,231,L,830.1,19.9,0.125,35.6,148.3,0.76,4.4,4.522727273,20.8,0.11,34.3,134,0.744,4.48,4.642857143,32.1,0.211,68,302.1,0.775,5.86,5.4778157,22.8,0.157,64.7,248.4,0.74,8.47,2.691853601,24.4,0.128,111.9,430.8,0.74,3.82,6.387434555,15.2,0.0757,105.2,450.4,0.766,2.18,6.972477064,22.53333333,0.13445,69.95,285.6666667,0.754166667,4.868333333,5.115860889
physiology,61,20,3,13,1,188.1,188,H,906.8,17,0.138,50.7,204.6,0.752,4.87,3.490759754,22.9,0.158,73.4,301.7,0.757,5.96,3.842281879,15,0.0761,94.3,395.8,0.762,2.21,6.787330317,13.8,0.0795,93,374.1,0.751,4.81,2.869022869,15.6,0.0749,96.6,407.3,0.763,2.39,6.527196653,6.25,0.0353,95.8,426.1,0.775,1.05,5.952380952,15.09166667,0.093633333,83.96666667,351.6,0.76,3.548333333,4.911495404
physiology,63,10,1,1,5,162.5,162,E,871.8,18.7,0.138,39,147.8,0.736,4.84,3.863636364,9.05,0.0787,46.3,202.1,0.771,3.22,2.810559006,9.02,0.0573,71.1,245,0.71,1.69,5.337278107,3.4,0.0348,69.5,174.2,0.601,2.15,1.581395349,2.81,0.0339,40.4,144.7,0.721,1.05,2.676190476,6.42,0.0331,41.2,180.7,0.772,0.841,7.633769322,8.233333333,0.062633333,51.25,182.4166667,0.7185,2.2985,3.983804771
physiology,71,15,2,7,1,247.1,247,L,1059.5,14.1,0.0809,54.4,199.9,0.728,2.94,4.795918367,4.88,0.036,65,283.8,0.771,1.58,3.088607595,17.9,0.108,70.4,282.7,0.751,3.19,5.611285266,22.3,0.136,67,247.7,0.73,7.38,3.021680217,21.2,0.12,88.5,332.9,0.734,3.65,5.808219178,19.3,0.0947,92,403.1,0.772,2.4,8.041666667,16.61333333,0.095933333,72.88333333,291.6833333,0.747666667,3.523333333,5.061229548
physiology,73,15,1,2,1,172.1,172,Q,2088.2,16,0.135,66.3,258.8,0.744,4.87,3.285420945,10.1,0.0523,26.4,102.5,0.743,2.22,4.54954955,12,0.179,65.5,297.8,0.78,5.23,2.294455067,17.4,0.155,70.2,290.3,0.758,8.3,2.096385542,11.6,0.193,62.5,253.5,0.754,5.22,2.222222222,15.7,0.0693,65.8,270,0.756,1.77,8.870056497,13.8,0.1306,59.45,245.4833333,0.755833333,4.601666667,3.886348304
physiology,74,20,1,3,6,172.6,172,Q,585.4,14.4,0.111,25.2,103.3,0.756,4.31,3.341067285,19.1,0.126,49.7,213.2,0.767,4.96,3.850806452,19.2,0.129,66.7,281.1,0.763,3.84,5,26,0.154,64,262.4,0.756,8.37,3.106332139,20.6,0.141,64,287.4,0.777,4.11,5.01216545,14.8,0.111,95.5,412.6,0.769,2.47,5.991902834,19.01666667,0.128666667,60.85,260,0.764666667,4.676666667,4.38371236
physiology,76,30,3,15,5,196.3,196,G,1958.3,15.1,0.119,46.4,198.2,0.766,4.78,3.158995816,17.5,0.131,18.3,77.6,0.764,5.04,3.472222222,15.9,0.106,55.6,201.4,0.724,3.2,4.96875,11.8,0.0764,75.8,265,0.714,4.54,2.599118943,8.87,0.0492,74,273.9,0.73,1.62,5.475308642,23.3,0.154,87.1,395.5,0.78,3.14,7.420382166,15.41166667,0.105933333,59.53333333,235.2666667,0.746333333,3.72,4.515796298
physiology,82,15,3,12,3,186.2,186,G,2256.9,13.1,0.057,49.3,220.6,0.777,2.41,5.435684647,7.71,0.0382,57.4,218.4,0.737,1.57,4.910828025,17.1,0.103,60.2,270.2,0.777,3.21,5.327102804,17.4,0.114,57.9,232.6,0.751,6.34,2.744479495,25.4,0.119,85.8,358.6,0.761,3.59,7.075208914,11.4,0.0504,79.6,342.9,0.768,1.13,10.08849558,15.35166667,0.080266667,65.03333333,273.8833333,0.761833333,3.041666667,5.93029991
physiology,83,20,1,3,2,253.1,253,Q,1119.7,12.9,0.111,21.7,80.5,0.731,4.28,3.014018692,22.4,0.136,28.2,111.9,0.748,4.94,4.534412955,15.4,0.14,47.9,204.1,0.765,4.39,3.507972665,23.1,0.157,75.5,325.9,0.768,8.37,2.759856631,15,0.0951,78.5,321.4,0.756,3,5,12,0.0706,71.8,317.8,0.774,1.74,6.896551724,16.8,0.118283333,53.93333333,226.9333333,0.757,4.453333333,4.285468778
physiology,84,20,2,8,5,202.3,202,L,1598.1,12,0.0683,39.4,169.4,0.768,2.79,4.301075269,24.8,0.133,41.7,174.6,0.761,4.94,5.020242915,27.4,0.154,51.3,204.5,0.749,4.86,5.637860082,19,0.0991,88.6,345.8,0.744,5.56,3.417266187,23.3,0.116,105,428,0.755,3.62,6.436464088,14.8,0.0659,99.5,413.1,0.759,1.57,9.426751592,20.21666667,0.10605,70.91666667,289.2333333,0.756,3.89,5.706610022
physiology,88,20,3,13,7,196.7,196,G,635.4,23.9,0.135,49.1,209.4,0.765,5.22,4.578544061,26.4,0.135,31.9,138.5,0.769,5.08,5.196850394,15.4,0.0995,86.9,390.6,0.778,3.25,4.738461538,12.6,0.0993,69.2,293.4,0.764,5.56,2.26618705,12.9,0.0576,87.5,342.3,0.744,1.91,6.753926702,8.69,0.0469,103.9,425.5,0.756,1.26,6.896825397,16.64833333,0.09555,71.41666667,299.95,0.762666667,3.713333333,5.07179919
physiology,91,15,3,12,1,186.1,186,G,932.5,15.3,0.0889,43.5,189.1,0.77,3.46,4.421965318,4.38,0.0271,55.6,247.1,0.775,1.19,3.680672269,22.4,0.119,69.6,321.5,0.783,3.95,5.670886076,18.5,0.105,75.5,323.1,0.766,5.75,3.217391304,18.8,0.0978,77.6,332.9,0.767,3.17,5.930599369,8.29,0.0435,97.1,441.5,0.78,1.23,6.739837398,14.61166667,0.080216667,69.81666667,309.2,0.7735,3.125,4.943558622
physiology,92,25,2,9,1,200.1,200,C,1425.5,13.6,0.0764,35.3,145.1,0.757,3.01,4.518272425,19.6,0.106,42,169.1,0.751,4.11,4.768856448,35.2,0.223,48.1,212.7,0.774,7.35,4.789115646,21,0.124,93.8,378.1,0.752,6.5,3.230769231,27,0.136,95,386.7,0.754,4.13,6.537530266,22.8,0.117,116.4,500.7,0.767,3.04,7.5,23.2,0.1304,71.76666667,298.7333333,0.759166667,4.69,5.224090669
physiology,93,25,3,14,6,196.6,196,G,1639.6,17.7,0.0716,50,210.2,0.762,2.87,6.167247387,16.6,0.0901,51.5,230.7,0.777,3.25,5.107692308,21.2,0.142,91.8,405.3,0.773,4.77,4.444444444,13.1,0.0818,98.3,387.9,0.747,4.62,2.835497835,12.9,0.0634,90.6,333.7,0.728,2.18,5.917431193,16.2,0.102,106.8,478.8,0.777,2.63,6.159695817,16.28333333,0.091816667,81.5,341.1,0.760666667,3.386666667,5.105334831
physiology,94,10,2,6,2,226.3,226,C,1754.2,12.1,0.0592,53.6,221.9,0.759,2.39,5.062761506,5.89,0.0346,31.1,121.6,0.745,1.4,4.207142857,3.94,0.0227,50.9,202.9,0.749,0.825,4.775757576,2.7,0.0281,51.2,178.4,0.713,1.75,1.542857143,10.6,0.0479,52.4,182.4,0.713,1.55,6.838709677,5.41,0.0286,57.3,224.4,0.745,0.819,6.605616606,6.773333333,0.03685,49.41666667,188.6,0.737333333,1.455666667,4.838807561
physiology,97,30,1,5,2,251.2,251,Q,644.1,12.2,0.085,43.8,184.1,0.762,3.29,3.708206687,18.4,0.11,52.5,216.5,0.758,4.16,4.423076923,18.1,0.117,52.4,206,0.746,4.21,4.299287411,17.4,0.135,65.3,248.9,0.737,7.15,2.433566434,9.44,0.0725,65.1,252.9,0.743,2.43,3.884773663,21.4,0.141,68.9,295.5,0.767,3.46,6.184971098,16.15666667,0.110083333,58,233.9833333,0.752166667,4.116666667,4.155647036
physiology,98,15,1,2,3,253.2,253,Q,533.8,13,0.0776,39.3,136.5,0.712,2.93,4.436860068,5.28,0.0356,41.9,174.5,0.76,1.48,3.567567568,15.3,0.109,45.3,201,0.775,3.93,3.893129771,9.03,0.0699,40.9,147.6,0.723,4.09,2.207823961,13.8,0.0948,55.2,224.9,0.754,3.25,4.246153846,14.9,0.0652,58.9,243.6,0.758,1.68,8.869047619,11.885,0.07535,46.91666667,188.0166667,0.747,2.893333333,4.536763805
physiology,99,25,3,14,7,186.6,186,G,677,22.8,0.126,41.5,163.9,0.747,4.81,4.74012474,29.6,0.174,42.7,183.8,0.768,6.18,4.789644013,23.1,0.149,91,423.1,0.785,5.36,4.309701493,16.3,0.0927,79.7,314,0.746,5.22,3.122605364,11.8,0.0601,89.3,342.4,0.739,2.24,5.267857143,18.7,0.0924,91.2,394.3,0.769,2.38,7.857142857,20.38333333,0.1157,72.56666667,303.5833333,0.759,4.365,5.014512602
physiology,102,15,1,2,6,251.5,251,Q,997.4,9.56,0.0698,50.7,194.4,0.739,2.73,3.501831502,11,0.0607,53,215.9,0.755,2.42,4.545454545,10.8,0.09,56.2,231,0.757,3.3,3.272727273,11.6,0.0942,43.8,171.5,0.745,5.36,2.164179104,15.1,0.0673,57.2,216.3,0.736,2.4,6.291666667,9.44,0.0419,47.4,208.6,0.773,1.07,8.822429907,11.25,0.07065,51.38333333,206.2833333,0.750833333,2.88,4.7663815
physiology,105,10,1,1,3,172.4,172,Q,685,5.59,0.0895,25,95.8,0.739,3.27,1.709480122,9.2,0.046,44.1,163.3,0.73,1.86,4.946236559,5.89,0.0345,68.1,250,0.728,1.28,4.6015625,8.3,0.0449,54.2,220.4,0.754,2.73,3.04029304,8.86,0.0376,41.4,142.1,0.709,1.4,6.328571429,7.69,0.0435,49.9,216.4,0.769,1.09,7.055045872,7.588333333,0.049333333,47.11666667,181.3333333,0.738166667,1.938333333,4.613531587
physiology,112,20,3,13,2,153.1,153,R,1897.7,12.5,0.0807,46.6,206.2,0.774,3.58,3.491620112,24.4,0.143,39.2,177.4,0.779,5.28,4.621212121,19,0.11,99.4,448.7,0.779,3.92,4.846938776,18.5,0.129,97.8,349.1,0.72,3.11,5.948553055,12.2,0.0611,82.4,320.9,0.743,2.26,5.398230088,12.2,0.0537,88.5,371.3,0.762,1.35,9.037037037,16.46666667,0.09625,75.65,312.2666667,0.7595,3.25,5.557265198
physiology,115,10,1,1,6,255.6,255,R,569.6,7.3,0.103,41.9,176.7,0.763,4.35,1.67816092,3.09,0.0205,33.3,129.4,0.743,0.861,3.588850174,5.79,0.0768,33,115.2,0.714,2.75,2.105454545,3.77,0.0251,41.3,163,0.747,0.677,5.568685377,5.58,0.0349,40.7,155.1,0.737,1.28,4.359375,8.04,0.042,41.2,178.2,0.769,1.05,7.657142857,5.595,0.050383333,38.56666667,152.9333333,0.7455,1.828,4.159611479
physiology,119,25,2,9,6,226.7,226,D,1560.2,7.84,0.049,52.4,214.9,0.756,2.33,3.364806867,24.4,0.141,64.3,268.4,0.76,5.18,4.71042471,27,0.168,55.4,208.4,0.734,5.84,4.623287671,24.8,0.129,101.3,411.9,0.754,3.46,7.167630058,24.5,0.129,106.6,449.1,0.763,4.38,5.593607306,26.2,0.146,119,499.3,0.762,3.46,7.572254335,22.45666667,0.127,83.16666667,342,0.754833333,4.108333333,5.505335158
physiology,124,15,1,2,4,257.2,257,F,1008.7,12.1,0.124,42.5,174.5,0.756,4.99,2.424849699,4.97,0.0383,51.2,214.4,0.761,1.44,3.451388889,13,0.118,40.9,175.2,0.766,4.28,3.037383178,20.1,0.185,39.4,165.9,0.763,4.94,4.068825911,11.2,0.0823,44.5,185.1,0.759,2.82,3.971631206,11.8,0.0781,66.3,277.2,0.761,2.08,5.673076923,12.195,0.104283333,47.46666667,198.7166667,0.761,3.425,3.771192634
physiology,125,25,3,14,3,186.5,186,G,1774.2,27.6,0.199,58.8,220.6,0.733,7.73,3.570504528,31.7,0.169,56.4,237.7,0.763,6.16,5.146103896,23.1,0.132,63.8,265.3,0.76,4.79,4.822546973,22.5,0.131,74.2,269.2,0.725,3.68,6.114130435,14.5,0.0932,102.2,353.3,0.711,3.33,4.354354354,13.9,0.0625,78.2,345.8,0.774,1.7,8.176470588,22.21666667,0.131116667,72.26666667,281.9833333,0.744333333,4.565,5.364018462
physiology,126,10,3,11,7,191.6,191,G,634.4,26.3,0.179,44.5,170.5,0.739,7.24,3.632596685,3.81,0.0157,50.8,218.8,0.768,0.706,5.396600567,9.77,0.0639,65.1,269.7,0.759,2.39,4.087866109,15.5,0.0843,54,192.9,0.72,2.62,5.916030534,6.94,0.0325,60.6,231.1,0.738,1.26,5.507936508,3.04,0.0157,48.9,209.9,0.767,0.444,6.846846847,10.89333333,0.065183333,53.98333333,215.4833333,0.7485,2.443333333,5.231312875
physiology,127,20,2,8,1,244.1,244,C,1272.9,20,0.129,38.6,149.7,0.742,5.33,3.752345216,15.8,0.108,46,204.8,0.775,4.24,3.726415094,17.8,0.111,59.8,250.1,0.761,4.07,4.373464373,3.88,0.0465,88.7,366.2,0.758,1.52,2.552631579,20.2,0.106,108.9,437.2,0.751,3.85,5.246753247,17.5,0.0968,112.2,459.8,0.756,2.6,6.730769231,15.86333333,0.09955,75.7,311.3,0.757166667,3.601666667,4.397063123
physiology,128,10,1,1,1,305.1,305,R,951,24.2,0.148,57.3,219.3,0.739,6.45,3.751937984,6.59,0.0521,41,175.2,0.766,2.09,3.153110048,3.63,0.0465,54,199.6,0.73,1.75,2.074285714,18.7,0.143,56.8,226.7,0.749,3.95,4.734177215,6.13,0.0315,52.6,210.3,0.75,1.18,5.194915254,8.38,0.0446,50.3,211.3,0.762,1.35,6.207407407,11.27166667,0.077616667,52,207.0666667,0.749333333,2.795,4.185972271
physiology,131,20,3,13,4,186.4,186,G,1382.7,24.7,0.133,49.8,204,0.756,6,4.116666667,28,0.148,51.1,229.2,0.777,5.35,5.23364486,12.6,0.0922,72.4,329.8,0.78,3.43,3.673469388,22.7,0.125,74,283,0.739,3.93,5.776081425,14.3,0.079,99.7,407.8,0.756,2.93,4.880546075,4.75,0.0289,104.1,465.5,0.776,0.972,4.886831276,17.84166667,0.101016667,75.18333333,319.8833333,0.764,3.768666667,4.761206615
physiology,133,25,2,9,3,244.3,244,C,388.1,21.9,0.174,58.5,229,0.744,8.17,2.680538556,26.6,0.178,42.3,165.6,0.745,6.32,4.208860759,26.1,0.169,52.7,218.8,0.759,6.1,4.278688525,19.4,0.129,104.1,377.9,0.725,4.05,4.790123457,20.1,0.091,100.6,367.5,0.726,3.33,6.036036036,18.9,0.106,106.7,451.8,0.764,3.22,5.869565217,22.16666667,0.141166667,77.48333333,301.7666667,0.743833333,5.198333333,4.643968758
physiology,134,25,1,4,4,255.3,255,R,1037.8,14.6,0.21,31.8,131.3,0.758,8.53,1.711606096,15.7,0.199,34.2,144.7,0.763,6.94,2.262247839,19.4,0.164,63,265.6,0.763,6.09,3.185550082,15.9,0.168,62.2,255.8,0.757,5.27,3.017077799,16.8,0.0916,68.8,271.5,0.747,3.39,4.955752212,9.45,0.0519,90.2,386.7,0.767,1.75,5.4,15.30833333,0.147416667,58.36666667,242.6,0.759166667,5.328333333,3.422039005
physiology,136,15,3,12,4,191.3,191,F,1771.8,28.8,0.159,50.1,217.3,0.77,7.2,4,9.28,0.0483,51.7,240.1,0.785,1.93,4.808290155,17.6,0.102,64.1,275.3,0.767,3.89,4.524421594,11.3,0.0488,60.6,226.8,0.733,1.74,6.494252874,23.5,0.126,75.7,307.6,0.754,4.56,5.153508772,12.6,0.0527,80.6,348.3,0.769,1.81,6.961325967,17.18,0.089466667,63.8,269.2333333,0.763,3.521666667,5.323633227
physiology,137,10,1,1,2,257.1,257,F,1434,11.3,0.182,25,91.9,0.727,7.78,1.452442159,13,0.109,29.9,125.1,0.761,3.85,3.376623377,2.96,0.0207,52.8,202.8,0.74,0.798,3.709273183,3.56,0.0485,48.3,182.2,0.735,1.62,2.197530864,5.59,0.08,43.3,173.5,0.751,2.8,1.996428571,-0.293,0.0109,26.1,97.4,0.732,0.342,-0.856725146,6.0195,0.075183333,37.56666667,145.4833333,0.741,2.865,1.979262168
physiology,140,20,2,8,3,200.1,200,C,2640.2,18.8,0.127,40.7,146.5,0.722,5.8,3.24137931,27.9,0.133,35.3,151.9,0.768,4.6,6.065217391,24.3,0.135,70.3,297.3,0.764,5.1,4.764705882,20.7,0.113,101.6,434.4,0.766,3.61,5.734072022,20.7,0.0991,90.2,329.7,0.726,3.72,5.564516129,10.5,0.0464,99.9,421.9,0.763,1.58,6.64556962,20.48333333,0.108916667,73,296.95,0.7515,4.068333333,5.335910059
physiology,141,10,1,1,7,251.6,251,R,388.5,20.3,0.121,26.7,109.3,0.755,5.83,3.481989708,8.91,0.045,38.9,145.1,0.732,1.72,5.180232558,6.9,0.0332,50.7,197.8,0.744,1.32,5.227272727,5.44,0.0292,41.6,177.8,0.766,0.965,5.637305699,11.8,0.0489,46,187.1,0.754,1.95,6.051282051,1.94,0.0337,54.7,225.5,0.757,1.19,1.630252101,9.215,0.051833333,43.1,173.7666667,0.751333333,2.1625,4.534722474
physiology,147,10,3,11,6,153.5,153,R,581.8,31,0.212,47.8,197,0.757,9.56,3.242677824,10.4,0.0501,50.7,205,0.753,1.98,5.252525253,9.61,0.0399,56.6,252.3,0.776,1.68,5.720238095,2.27,0.0154,52.5,193.4,0.728,0.54,4.203703704,7.54,0.0326,52.5,222,0.764,1.3,5.8,7.56,0.121,56.3,253.5,0.778,4.1,1.843902439,11.39666667,0.0785,52.73333333,220.5333333,0.759333333,3.193333333,4.343841219
physiology,151,10,2,6,1,227.1,227,B,1882,33.2,0.206,47.4,169.8,0.721,10.4,3.192307692,10.2,0.061,52.1,187.8,0.723,2.44,4.180327869,4.58,0.0283,51.4,195,0.736,1.18,3.881355932,3.87,0.0181,62.5,204,0.694,0.68,5.691176471,4.38,0.0227,65.9,230.5,0.714,0.937,4.674493063,5.56,0.0514,78.3,337.9,0.768,1.67,3.329341317,10.29833333,0.064583333,59.6,220.8333333,0.726,2.8845,4.158167057
