measure,pot,trt,geno,combo,rep,tcid,parent,block,SM,Anet5_0907,gs5_0907,fo5_0907,fm5_0907,fv5_0907,E5_0907,WUEi5_0907,Anet6_0913,gs6_0913,fo6_0913,fm6_0913,fv6_0913,E6_0913,WUEi6_0913,Anet7_0920,gs7_0920,fo7_0920,fm7_0920,fv7_0920,E7_0920,WUEi7_0920,Anet8_0925,gs8_0925,fo8_0925,fm8_0925,fv8_0925,E8_0925,WUEi8_0925,Anet9_1004,gs9_1004,fo9_1004,fm9_1004,fv9_1004,E9_1004,WUEi9_1004,Anet10_1011,gs10_1011,fo10_1011,fm10_1011,fv10_1011,E10_1011,WUEi10_1011,uAnet,ugs,ufo,ufm,ufv,uE,uWUEi
physiology,152,10,3,11,2,184.2,184,F,1704.2,11.5,0.116,63.3,254.5,0.751,6.51,1.766513057,9.04,0.0449,39.9,150.1,0.734,1.8,5.022222222,3.48,0.0207,41.8,158.6,0.736,0.938,3.710021322,1.1,0.00897,42.5,127,0.665,0.326,3.374233129,10.8,0.0523,57.4,233.5,0.754,2.07,5.217391304,10.8,0.049,63,257.5,0.756,1.63,6.625766871,7.786666667,0.048645,51.31666667,196.8666667,0.732666667,2.212333333,4.286024651
physiology,159,15,1,2,7,159.7,159,K,1822.3,7.26,0.0351,28.7,121.1,0.763,1.49,4.872483221,7.6,0.0408,27.1,113.7,0.762,1.71,4.444444444,20.2,0.158,48.5,193.4,0.749,6.51,3.102918587,18.3,0.16,66.5,267.7,0.751,5.17,3.539651838,15.8,0.0949,49,193.5,0.747,3.52,4.488636364,17.4,0.0799,46,191.5,0.76,2.48,7.016129032,14.42666667,0.094783333,44.3,180.15,0.755333333,3.48,4.577377248
physiology,160,10,3,11,3,153.2,153,R,1807.2,16.9,0.0779,40.8,185.9,0.78,2.98,5.67114094,-0.0951,0.00494,41.2,168.9,0.756,0.209,-0.455023923,1.87,0.00744,42.9,150.3,0.714,0.346,5.404624277,5.99,0.0288,38.2,129.9,0.706,1.07,5.598130841,10.6,0.0476,46,156.4,0.706,1.93,5.492227979,5.71,0.0389,49.5,217.4,0.773,1.24,4.60483871,6.82915,0.034263333,43.1,168.1333333,0.739166667,1.295833333,4.385989804
physiology,168,20,3,13,5,184.4,184,F,1647.1,16,0.0746,35.9,168.2,0.786,2.79,5.734767025,9.15,0.0529,25,105.9,0.764,2.31,3.961038961,12,0.0721,55.2,236.9,0.767,3.16,3.797468354,15.7,0.101,73.4,296.6,0.753,3.62,4.337016575,13.8,0.0678,79.1,279.4,0.717,2.72,5.073529412,5.15,0.0407,94.6,386.4,0.755,1.38,3.731884058,11.96666667,0.068183333,60.53333333,245.5666667,0.757,2.663333333,4.439284064
physiology,169,25,3,14,4,184.5,184,F,758.9,28.4,0.179,48,199.1,0.759,6.41,4.430577223,13.8,0.0673,80.8,367.5,0.78,2.87,4.808362369,21.2,0.125,68.6,284.7,0.759,4.96,4.274193548,19.9,0.125,92.5,371.7,0.751,4.32,4.606481481,13.2,0.083,81.3,324.7,0.75,3.29,4.012158055,16.6,0.0942,97.8,449.1,0.782,2.95,5.627118644,18.85,0.11225,78.16666667,332.8,0.7635,4.133333333,4.626481887
physiology,170,15,3,12,2,184.1,184,F,1082.9,13.3,0.0732,39.1,155.5,0.748,2.87,4.634146341,8.66,0.0382,40.1,162.2,0.753,1.75,4.948571429,19.3,0.106,50.6,231.2,0.781,4.41,4.376417234,22.1,0.106,53.2,239.8,0.778,3.62,6.104972376,22.6,0.132,47.7,188.1,0.746,4.95,4.565656566,13.4,0.0651,84.6,375.4,0.775,2.02,6.633663366,16.56,0.08675,52.55,225.3666667,0.7635,3.27,5.210571219
physiology,173,10,2,6,5,221.4,221,B,530,13.8,0.0764,29.8,129.1,0.769,3.01,4.584717608,4.7,0.0466,40.4,172.9,0.766,2.18,2.155963303,5.19,0.0508,54.6,189.4,0.712,2.09,2.483253589,2.91,0.026,59.4,247.1,0.76,1.03,2.825242718,4.65,0.0325,57.9,212.3,0.727,1.27,3.661417323,7.49,0.0232,69.5,292.7,0.763,0.773,9.689521345,6.456666667,0.042583333,51.93333333,207.25,0.7495,1.7255,4.233352648
physiology,174,25,1,4,3,167.2,167,K,564.7,26.7,0.148,36.4,134,0.728,5.68,4.700704225,17.4,0.115,44.5,188.2,0.764,4.98,3.493975904,14.3,0.149,85.2,378.6,0.775,5.86,2.440273038,17.7,0.105,83.9,343.5,0.756,3.83,4.621409922,15.8,0.0959,73.5,294.5,0.75,3.52,4.488636364,14.8,0.0976,74.9,322.7,0.768,3.09,4.789644013,17.78333333,0.118416667,66.4,276.9166667,0.756833333,4.493333333,4.089107244
physiology,180,25,3,14,1,176.1,176,T,1310.1,17.7,0.161,44.8,199.4,0.775,6.27,2.822966507,21.4,0.117,65.5,313.2,0.791,5.06,4.229249012,24.9,0.151,73.6,326,0.774,5.82,4.278350515,20.4,0.121,93.6,406.6,0.77,4.43,4.60496614,11.6,0.0746,82.2,314.3,0.738,2.8,4.142857143,17.3,0.089,107.9,520.4,0.793,2.85,6.070175439,18.88333333,0.118933333,77.93333333,346.65,0.7735,4.538333333,4.358094126
physiology,181,10,3,11,1,193.1,193,T,1917.6,11.2,0.0618,44.3,192.1,0.769,2.83,3.957597173,6.39,0.0297,39.2,174.6,0.776,1.43,4.468531469,2.83,0.0151,50.6,184.1,0.725,0.685,4.131386861,3.18,0.0147,56.4,203.9,0.723,0.628,5.063694268,9.3,0.0533,46.9,166.6,0.718,1.96,4.744897959,3.15,0.0238,49.5,205.7,0.76,0.845,3.727810651,6.008333333,0.033066667,47.81666667,187.8333333,0.745166667,1.396333333,4.348986397
physiology,184,25,1,4,2,256.1,256,K,531.6,13.3,0.19,19.1,73.8,0.741,7.46,1.782841823,21,0.106,37.3,165,0.774,4.78,4.393305439,27.6,0.198,61,253.3,0.759,7.72,3.575129534,18.7,0.15,71.4,277.1,0.742,5.43,3.443830571,8.24,0.0912,73,311.5,0.766,3.37,2.445103858,11.5,0.0519,76.3,328.5,0.768,1.73,6.647398844,16.72333333,0.131183333,56.35,234.8666667,0.758333333,5.081666667,3.714601678
physiology,190,20,3,13,3,176.2,176,T,1883.4,26.5,0.155,30.9,124.8,0.752,6,4.416666667,22.9,0.152,46.2,203.1,0.772,6.55,3.496183206,14.4,0.102,64.4,272.4,0.763,4.08,3.529411765,20.5,0.145,69.9,269.6,0.741,5.19,3.949903661,13.2,0.0725,73.8,279.9,0.736,2.72,4.852941176,10.5,0.0603,85.1,390.3,0.782,1.95,5.384615385,18,0.114466667,61.71666667,256.6833333,0.757666667,4.415,4.27162031
physiology,196,15,3,12,5,193.3,193,T,2598.1,11.4,0.0548,49,207.2,0.764,2.36,4.830508475,1.86,0.0151,45.3,200.5,0.774,0.733,2.537517053,17.9,0.0927,52.9,216.7,0.756,4.02,4.452736318,18.4,0.0842,51.4,200.8,0.744,3.23,5.696594427,13.5,0.0831,64.6,224.2,0.712,2.99,4.515050167,7.66,0.0415,80.3,328.3,0.755,1.36,5.632352941,11.78666667,0.0619,57.25,229.6166667,0.750833333,2.448833333,4.61079323
physiology,197,25,3,14,5,154.5,154,T,1177,15.6,0.0727,51.5,232.7,0.778,3.29,4.741641337,28.3,0.159,58.4,269.5,0.783,6.77,4.180206795,16.1,0.105,47.8,212.9,0.775,4.28,3.761682243,25.4,0.154,102.8,432.2,0.762,5.29,4.801512287,16.4,0.072,103.3,434.2,0.762,2.65,6.188679245,24.4,0.115,96.6,446.5,0.784,3.47,7.031700288,21.03333333,0.11295,76.73333333,338,0.774,4.291666667,5.117570366
physiology,202,15,2,7,2,221.1,221,B,907.8,6.3,0.0364,43.7,167.9,0.739,1.94,3.24742268,2.35,0.0117,65.6,271,0.758,0.598,3.929765886,17.4,0.112,76.2,324.2,0.765,4.76,3.655462185,17.2,0.0917,63.9,233.5,0.726,3.47,4.956772334,17.5,0.0766,77.6,336.4,0.769,2.79,6.272401434,15.9,0.0873,84.2,336.3,0.75,2.7,5.888888889,12.775,0.069283333,68.53333333,278.2166667,0.751166667,2.709666667,4.658452235
physiology,204,15,2,7,4,230.2,230,A,2932.4,17.4,0.0832,46.4,193.1,0.76,4.09,4.254278729,9.87,0.0567,73.9,296.1,0.75,2.77,3.563176895,5.77,0.0341,69.9,282,0.752,1.58,3.651898734,20.9,0.0986,63.1,263.3,0.76,3.81,5.485564304,20,0.128,65.8,256.2,0.743,4.39,4.555808656,13.4,0.0845,93.6,378.9,0.753,2.63,5.095057034,14.55666667,0.08085,68.78333333,278.2666667,0.753,3.211666667,4.434297392
physiology,205,10,2,6,3,246.3,246,A,1631.8,7.57,0.0234,38.7,149.1,0.74,1.28,5.9140625,3.15,0.0459,53.1,199,0.733,2.23,1.412556054,2.13,0.0214,58.4,223.2,0.738,1.04,2.048076923,3.93,0.0256,36.1,136.2,0.735,1.1,3.572727273,0.735,0.013,37.8,126.9,0.702,0.48,1.53125,6.17,0.024,44.6,175.9,0.747,0.795,7.761006289,3.9475,0.02555,44.78333333,168.3833333,0.7325,1.154166667,3.706613173
physiology,207,15,2,7,3,248.1,248,N,1705.3,11.5,0.0742,47.4,185.7,0.745,3.41,3.372434018,9.38,0.0433,51.4,210.7,0.756,2.13,4.403755869,11.5,0.0681,70.7,285.8,0.753,3.11,3.697749196,13.9,0.102,54,231,0.766,4.13,3.365617433,21.1,0.0946,44.6,161.2,0.723,3.36,6.279761905,18.9,0.0871,108.5,446.1,0.757,2.65,7.132075472,14.38,0.078216667,62.76666667,253.4166667,0.75,3.131666667,4.708565649
physiology,208,25,2,9,4,228.4,228,N,1294.6,15.5,0.208,31.7,138.9,0.772,8.56,1.810747664,23.5,0.146,67.2,296.5,0.773,6.22,3.778135048,30.5,0.191,60,241,0.751,7.6,4.013157895,21.8,0.128,96.2,395.3,0.757,4.82,4.522821577,15.5,0.0902,110.2,421.8,0.739,3.33,4.654654655,21.2,0.112,102.8,425.5,0.758,3.38,6.272189349,21.33333333,0.145866667,78.01666667,319.8333333,0.758333333,5.651666667,4.175284365
physiology,211,10,3,11,5,176.4,176,T,1406.3,6.61,0.042,43.2,195.4,0.779,1.79,3.69273743,2.81,0.0245,52.9,226.9,0.767,1.2,2.341666667,2.55,0.0162,72.7,303.4,0.761,0.777,3.281853282,4.93,0.0305,62.6,247.2,0.747,1.31,3.763358779,11.8,0.0501,60.2,210.9,0.715,1.98,5.95959596,11.1,0.0459,68.7,293.2,0.766,1.41,7.872340426,6.633333333,0.034866667,60.05,246.1666667,0.755833333,1.411166667,4.485258757
physiology,217,20,1,3,3,165.1,165,K,735.4,12.5,0.0992,41.1,166.5,0.753,3.88,3.221649485,12.2,0.109,49.4,213.4,0.768,4.61,2.646420824,15.7,0.0986,54.8,225.8,0.757,4.55,3.450549451,21.7,0.139,60.2,263.9,0.772,5.56,3.902877698,13.9,0.0718,74.2,320.1,0.768,2.83,4.911660777,10.8,0.0623,75.4,319.3,0.764,2.06,5.242718447,14.46666667,0.09665,59.18333333,251.5,0.763666667,3.915,3.895979447
physiology,220,30,3,15,4,194.2,194,T,2067.1,29.7,0.189,63.3,277.6,0.772,6.83,4.348462665,24.4,0.15,44.4,190.7,0.767,6.45,3.782945736,10.9,0.0675,91.6,348.4,0.737,3.12,3.493589744,14.4,0.109,81.8,306.9,0.734,4.33,3.325635104,10.7,0.0494,87.8,350,0.749,1.93,5.544041451,20.5,0.102,95,415.8,0.771,2.94,6.972789116,18.43333333,0.11115,77.31666667,314.9,0.755,4.266666667,4.577910636
physiology,230,10,2,6,6,246.5,246,A,1666.7,26.2,0.167,38.3,154.5,0.752,6.63,3.95173454,5.89,0.0346,37.9,165,0.77,1.69,3.485207101,6.83,0.0351,54.8,144.8,0.621,1.69,4.041420118,6.68,0.0418,57.8,181.7,NaN,1.87,3.572192513,5.2,0.029,50.3,157.9,0.682,1.15,4.52173913,2.24,0.024,47.6,194.2,0.755,0.778,2.879177378,8.84,0.05525,47.78333333,166.35,0.716,2.301333333,3.741911797
physiology,231,15,2,7,6,230.4,230,A,853.7,18,0.119,39.2,151.5,0.741,4.83,3.726708075,3.09,0.0133,51.7,232.5,0.778,0.63,4.904761905,19.2,0.0832,68,263.2,0.742,3.75,5.12,22.7,0.12,65,270.4,0.76,5.01,4.530938124,14.5,0.0891,60.6,245.2,0.753,3.48,4.166666667,10.4,0.0502,95.5,380.7,0.749,1.61,6.459627329,14.64833333,0.079133333,63.33333333,257.25,0.753833333,3.218333333,4.818117016
physiology,233,30,2,10,6,231.5,231,M,1572.9,19.8,0.139,54.4,228.1,0.762,5.51,3.593466425,13.9,0.0727,46.9,200,0.766,3.38,4.112426036,18.4,0.129,77.9,286,0.728,5.42,3.394833948,18.8,0.113,80.3,254.4,NaN,4.8,3.916666667,18.7,0.111,90.8,366.5,0.752,4.1,4.56097561,16.4,0.0958,95.8,416.8,0.77,2.97,5.521885522,17.66666667,0.110083333,74.35,291.9666667,0.7556,4.363333333,4.183375701
physiology,234,30,3,15,7,182.5,182,S,2054,39.8,0.231,43.1,196.1,0.78,8.16,4.87745098,24.9,0.15,66.6,308.5,0.784,6.3,3.952380952,19.7,0.123,66.4,221,0.699,5.15,3.825242718,15,0.0842,76.1,259.1,0.706,3.74,4.010695187,9.35,0.0435,76.9,252.9,0.696,1.68,5.56547619,19.9,0.0935,78.2,330.4,0.763,2.77,7.184115523,21.44166667,0.120866667,67.88333333,261.3333333,0.738,4.633333333,4.902560259
physiology,236,30,2,10,7,231.6,231,M,1729.7,24.4,0.162,30.8,128,0.759,6.64,3.674698795,21,0.142,61.7,277.6,0.778,6.01,3.494176373,18.6,0.11,93.9,367,0.744,4.56,4.078947368,14.4,0.0947,54.4,196.9,0.724,4.24,3.396226415,18.6,0.102,94.1,355,0.735,3.75,4.96,14.9,0.0823,95.2,410.9,0.768,2.52,5.912698413,18.65,0.1155,71.68333333,289.2333333,0.751333333,4.62,4.252791227
physiology,255,30,3,15,1,182.1,182,S,640.9,31.3,0.2,35.8,158.4,0.774,7.86,3.982188295,25.1,0.175,50.3,228.3,0.78,7.06,3.555240793,14.2,0.104,58.5,218.2,0.732,4.26,3.333333333,12.1,0.0794,95.3,337.3,0.718,3.55,3.408450704,9.08,0.0442,86.9,338.6,0.743,1.78,5.101123596,10.5,0.083,83.1,374.2,0.778,2.61,4.022988506,17.04666667,0.114266667,68.31666667,275.8333333,0.754166667,4.52,3.900554205
physiology,259,10,1,1,4,173.4,173,J,2524.8,16.8,0.134,58.2,255.2,0.772,5.45,3.082568807,7.4,0.038,50.8,193.5,0.737,1.7,4.352941176,4.04,0.0412,59.9,250.2,0.761,1.86,2.172043011,9.33,0.0435,57.1,223.7,0.745,1.99,4.688442211,10.2,0.0822,40.5,161,0.749,2.95,3.457627119,6.61,0.0345,61.9,260,0.762,1.1,6.009090909,9.063333333,0.062233333,54.73333333,223.9333333,0.754333333,2.508333333,3.960452206
physiology,260,30,1,5,3,173.3,173,J,1717.3,27.4,0.179,31,120.1,0.742,7,3.914285714,29.5,0.17,62.6,276.8,0.774,6.59,4.476479514,19.5,0.152,58.4,234.5,0.751,6.03,3.233830846,15.2,0.101,61.3,231,0.735,4.58,3.318777293,11.3,0.0766,62.5,221.4,0.718,2.98,3.791946309,12.3,0.241,70.4,272.4,0.741,6.86,1.793002915,19.2,0.153266667,57.7,226.0333333,0.7435,5.673333333,3.421387099
physiology,263,30,2,10,3,201.2,201,M,306.9,27.9,0.191,47.8,204.9,0.767,7.58,3.680738786,34.8,0.209,40.4,179.2,0.775,7.55,4.609271523,26,0.159,76,313.8,0.758,6.22,4.180064309,21,0.168,75.2,262.9,0.714,7.29,2.880658436,17.4,0.0802,85.4,342.3,0.75,3.12,5.576923077,27.3,0.18,94.1,392.5,0.76,5.08,5.374015748,25.73333333,0.164533333,69.81666667,282.6,0.754,6.14,4.38361198
physiology,264,25,1,4,5,156.3,156,J,1918.1,29.7,0.157,41.6,175.8,0.763,6.34,4.684542587,15.9,0.129,43.2,192.4,0.776,4.81,3.305613306,22.2,0.132,64.2,265.7,0.759,5.12,4.3359375,17.5,0.159,54.3,211.2,0.743,6.89,2.539912917,11.2,0.168,68,283.4,0.76,5.9,1.898305085,12.4,0.107,77,325.8,0.764,3.17,3.911671924,18.15,0.142,58.05,242.3833333,0.760833333,5.371666667,3.44599722
physiology,266,15,1,2,2,173.1,173,J,2823.5,24.2,0.135,23.2,102.1,0.773,5.44,4.448529412,12.2,0.0539,40.9,168,0.756,2.16,5.648148148,21.2,0.103,44.9,188.5,0.762,4.14,5.120772947,23.1,0.108,43.2,170.9,0.747,5.09,4.538310413,16.4,0.109,69.4,276.9,0.75,4.07,4.029484029,4.02,0.0245,70.7,293.6,0.759,0.828,4.855072464,16.85333333,0.0889,48.71666667,200,0.757833333,3.621333333,4.773386235
physiology,268,30,2,10,4,245.4,245,M,1333,20,0.13,38.5,165.9,0.768,5.11,3.913894325,17.7,0.104,73.2,320.3,0.771,3.93,4.503816794,12.9,0.0888,74.7,295.3,0.747,3.7,3.486486486,14.5,0.0865,79,305.4,0.741,4.18,3.468899522,18.7,0.105,105.3,403.5,0.739,4.15,4.506024096,29.8,0.188,108.5,460.5,0.765,5.36,5.559701493,18.93333333,0.11705,79.86666667,325.15,0.755166667,4.405,4.239803786
physiology,271,20,2,8,6,245.5,245,M,3648.8,19,0.105,53.4,209.8,0.746,4.05,4.691358025,16.4,0.0753,48.8,204.1,0.761,2.92,5.616438356,13.8,0.0625,66.3,271.2,0.755,2.67,5.168539326,19.4,0.129,64.5,272,0.763,6.03,3.217247098,16.3,0.076,94.6,332.5,0.716,2.98,5.469798658,18.7,0.107,90.9,384.9,0.764,3.33,5.615615616,17.26666667,0.092466667,69.75,279.0833333,0.750833333,3.663333333,4.96316618
physiology,276,15,3,12,6,185.3,185,J,591.4,3.96,0.0234,29,117.5,0.753,0.873,4.536082474,10.1,0.0438,32.9,144,0.771,1.67,6.047904192,9.82,0.0612,73.7,307.6,0.76,2.4,4.091666667,9.63,0.0552,61.8,266.6,0.768,2.86,3.367132867,12.3,0.0693,70.3,257.9,0.727,2.79,4.408602151,5.73,0.0375,82.5,358.1,0.77,1.25,4.584,8.59,0.0484,58.36666667,241.95,0.758166667,1.973833333,4.505898058
physiology,278,20,2,8,2,225.1,225,M,1402.4,17.9,0.123,45.9,197.2,0.767,4.4,4.068181818,14.5,0.0703,54.3,233.6,0.768,2.7,5.37037037,13.6,0.0886,63.4,263.7,0.759,3.72,3.655913978,24.1,0.134,84.9,319.9,0.735,6.22,3.874598071,16.8,0.0948,100,361.5,0.723,3.83,4.386422977,11.1,0.0504,110,437.4,0.749,1.69,6.568047337,16.33333333,0.093516667,76.41666667,302.2166667,0.750166667,3.76,4.653922425
physiology,281,25,2,9,2,225.2,225,M,2439,20.1,0.109,40.8,182.1,0.776,3.97,5.062972292,20.9,0.102,55.7,234.4,0.762,3.8,5.5,19,0.0998,63.9,263.9,0.758,3.98,4.773869347,22.8,0.136,89.9,345.4,0.74,6.3,3.619047619,14.1,0.0638,86,301.4,0.715,2.68,5.26119403,18.4,0.0804,91,379.7,0.76,2.61,7.049808429,19.21666667,0.0985,71.21666667,284.4833333,0.751833333,3.89,5.211148619
physiology,282,15,2,7,5,229.3,229,M,728.9,12.6,0.0609,61.2,275.4,0.778,2.39,5.271966527,10.1,0.0518,42.3,179.1,0.764,2.07,4.879227053,14.2,0.0883,64.4,266.6,0.758,3.56,3.988764045,16.8,0.106,59.4,226.7,0.738,5.16,3.255813953,17.8,0.0994,59.7,203.7,0.707,3.96,4.494949495,12.9,0.0557,92.3,382.3,0.759,1.89,6.825396825,14.06666667,0.077016667,63.21666667,255.6333333,0.750666667,3.171666667,4.78601965
physiology,288,20,1,3,5,304.2,304,N,563.4,20.6,0.12,30,119.4,0.749,4.56,4.51754386,16.8,0.14,51.7,228.3,0.774,5.16,3.255813953,19.5,0.126,70.8,287.7,0.754,5.02,3.884462151,24.4,0.138,75.7,320.4,0.764,6.44,3.788819876,19.5,0.136,76.5,296.3,0.742,5.35,3.644859813,14.4,0.0804,110.9,482.2,0.77,2.68,5.373134328,19.2,0.1234,69.26666667,289.05,0.758833333,4.868333333,4.077438997
physiology,293,30,3,15,2,295.1,295,I,1494.6,23.3,0.132,49.6,216.5,0.771,4.8,4.854166667,28.2,0.159,51.5,230,0.776,5.86,4.812286689,11.8,0.0716,77.8,295.7,0.737,3,3.933333333,6.63,0.0481,79.6,293.6,0.729,2.45,2.706122449,11.5,0.0675,75.8,295.7,0.744,2.82,4.078014184,23.4,0.147,83.4,380.8,0.781,4.4,5.318181818,17.47166667,0.1042,69.61666667,285.3833333,0.756333333,3.888333333,4.28368419
physiology,295,25,2,9,7,228.8,228,N,1684.4,11.2,0.0573,43.4,159.8,0.729,2.09,5.358851675,23.4,0.11,50.5,234.3,0.785,4.14,5.652173913,16.8,0.0974,71.4,273.5,0.739,4.18,4.019138756,25.5,0.147,83.5,346.4,0.759,6.58,3.875379939,21.7,0.106,96.1,350.4,0.726,4.37,4.965675057,24.9,0.151,111.6,474.1,0.765,4.5,5.533333333,20.58333333,0.11145,76.08333333,306.4166667,0.7505,4.31,4.900758779
physiology,296,30,2,10,2,228.1,228,N,986.8,16.5,0.17,28.1,104.8,0.731,6.02,2.740863787,17.7,0.13,52.7,218.7,0.759,4.98,3.554216867,23,0.152,61.4,262.2,0.766,6.19,3.715670436,7.61,0.0364,58.7,208.3,0.718,1.87,4.069518717,14.6,0.0773,89.1,362,0.754,3.27,4.464831804,21.6,0.124,95.8,415.3,0.769,3.8,5.684210526,16.835,0.11495,64.3,261.8833333,0.7495,4.355,4.03821869
physiology,297,10,3,11,4,296.2,296,I,593.2,23.6,0.118,63.5,274,0.768,4.45,5.303370787,8.11,0.038,63.8,286.9,0.778,1.64,4.945121951,3.34,0.0168,66.8,263.4,0.746,0.798,4.185463659,4.19,0.0197,47.7,150.2,0.682,1.06,3.952830189,11.3,0.0532,61.8,240.1,0.743,2.24,5.044642857,2.41,0.0208,67.1,289.8,0.768,0.713,3.380084151,8.825,0.044416667,61.78333333,250.7333333,0.7475,1.816833333,4.468585599
physiology,299,20,2,8,7,248.5,248,N,2199.1,20.6,0.126,54.1,221.7,0.756,4.55,4.527472527,15.4,0.0726,62,269.8,0.77,2.82,5.460992908,18.8,0.0953,68,288.8,0.765,4.24,4.433962264,27.1,0.162,77.9,302.2,0.742,6.97,3.888091822,22.8,0.117,118,434.2,0.728,4.89,4.662576687,12.1,0.054,97.5,403,0.758,1.88,6.436170213,19.46666667,0.104483333,79.58333333,319.95,0.753166667,4.225,4.901544404
physiology,302,25,1,4,6,163.4,163,P,778,10.5,0.0688,34.4,149.6,0.77,2.5,4.2,21.8,0.16,59.2,266.4,0.778,5.84,3.732876712,20,0.145,83.4,363.1,0.77,5.92,3.378378378,19.5,0.165,90.8,372.8,0.756,7.24,2.693370166,20.1,0.133,85.7,341.5,0.749,5.49,3.661202186,9.35,0.14,86.6,364,0.762,4.26,2.194835681,16.875,0.1353,73.35,309.5666667,0.764166667,5.208333333,3.31011052
physiology,307,15,1,2,5,306.4,306,P,1513.3,3.11,0.0869,37.7,156.9,0.759,2.88,1.079861111,10.2,0.0983,38.9,170,0.771,3.84,2.65625,15.9,0.0959,34.5,148.8,0.768,4.17,3.81294964,15.3,0.0809,35,141,0.752,4.13,3.704600484,18.8,0.101,53.8,202.9,0.735,4.22,4.454976303,7.17,0.03,69.8,271.1,0.743,1.08,6.638888889,11.74666667,0.082166667,44.95,181.7833333,0.754666667,3.386666667,3.724587738
physiology,309,25,1,4,7,163.5,163,P,952.3,21.2,0.101,44.5,191,0.767,3.8,5.578947368,29.6,0.182,36.2,150.7,0.76,6.83,4.333821376,27.6,0.182,61.9,280.9,0.78,7.45,3.704697987,22.2,0.154,70.9,293.5,0.759,7.15,3.104895105,16.7,0.119,81.6,318.4,0.744,4.98,3.353413655,15.6,0.131,77,328,0.765,4.07,3.832923833,22.15,0.144833333,62.01666667,260.4166667,0.7625,5.713333333,3.984783221
physiology,311,10,2,6,7,229.5,229,N,3366.8,11.6,0.0635,31.8,122.6,0.74,2.38,4.87394958,9.08,0.0531,46.3,201.9,0.771,2.34,3.88034188,3.04,0.0124,73.7,258.7,0.715,0.578,5.259515571,4.06,0.0297,65.1,247.9,0.737,1.63,2.490797546,8.81,0.0535,62,227.9,0.728,2.39,3.686192469,8.65,0.0382,70.7,290.8,0.757,1.32,6.553030303,7.54,0.041733333,58.26666667,224.9666667,0.741333333,1.773,4.457304558
physiology,315,20,1,3,4,170.1,170,P,972,18.5,0.102,26.5,108.5,0.755,3.79,4.881266491,33.5,0.183,53.2,238.8,0.777,7.23,4.633471646,28.4,0.179,72.4,323.7,0.776,7.04,4.034090909,26.1,0.187,92.5,381.8,0.758,8.45,3.088757396,18,0.103,91.7,395.9,0.768,4.21,4.275534442,25.2,0.17,90.4,407.3,0.778,5.13,4.912280702,24.95,0.154,71.11666667,309.3333333,0.768666667,5.975,4.304233598
physiology,320,20,3,13,6,296.6,296,I,1276,25.7,0.135,55.3,242.2,0.772,4.94,5.20242915,16.1,0.118,53.9,254.7,0.788,4.98,3.232931727,17.6,0.0922,89.1,416.6,0.786,4.11,4.282238443,21.4,0.127,67.2,275.8,0.756,5.93,3.608768971,17.8,0.0937,104.2,431.8,0.759,3.8,4.684210526,10.6,0.0597,90,425.3,0.788,2.14,4.953271028,18.2,0.104266667,76.61666667,341.0666667,0.774833333,4.316666667,4.327308308
physiology,323,25,3,14,2,295.4,295,I,1165.8,22.1,0.124,41.8,181.1,0.769,4.54,4.86784141,27.5,0.159,55.8,254.7,0.781,6.43,4.276827372,24.7,0.136,92.8,423.5,0.781,5.46,4.523809524,13.7,0.0863,74.4,277.8,0.732,4.27,3.208430913,7.26,0.0386,95.7,374.4,0.744,1.69,4.295857988,5.36,0.03,92.7,423,0.781,1.13,4.743362832,16.77,0.09565,75.53333333,322.4166667,0.764666667,3.92,4.319355006
physiology,324,15,2,7,7,229.4,229,N,1037.1,22.3,0.121,43.9,172.8,0.746,4.5,4.955555556,7.29,0.0495,55,226.7,0.757,2.31,3.155844156,13.2,0.086,66.8,277.8,0.759,3.76,3.510638298,28,0.16,64.6,266.6,0.758,7.49,3.738317757,23.2,0.12,82.9,322.4,0.743,4.55,5.098901099,10.1,0.0432,87.7,357.5,0.755,1.49,6.77852349,17.34833333,0.096616667,66.81666667,270.6333333,0.753,4.016666667,4.539630059