"","measure","pot","trt","geno","combo","rep","tcid","parent","block","SM","Anet5_0907","gs5_0907","fo5_0907","fm5_0907","fv5_0907","E5_0907","WUEi5_0907","Anet6_0913","gs6_0913","fo6_0913","fm6_0913","fv6_0913","E6_0913","WUEi6_0913","Anet7_0920","gs7_0920","fo7_0920","fm7_0920","fv7_0920","E7_0920","WUEi7_0920","Anet8_0925","gs8_0925","fo8_0925","fm8_0925","fv8_0925","E8_0925","WUEi8_0925","Anet9_1004","gs9_1004","fo9_1004","fm9_1004","fv9_1004","E9_1004","WUEi9_1004","Anet10_1011","gs10_1011","fo10_1011","fm10_1011","fv10_1011","E10_1011","WUEi10_1011","uAnet","ugs","ufv","uE","uWUEi","max_Anet","max_gs","max_fv","max_E","max_WUEi"
"1","physiology",1,30,1,5,6,167.5,167,"L",700.8,15.2,0.102,42.9,175.2,0.755,3.38,4.49704142,29.2,0.16,57.9,246.8,0.765,5.62,5.195729537,21.7,0.104977623762376,65.1,272.4,0.761,1.15,4.208995814875,18.4,0.191,63.9,242.2,0.736,8.62,2.134570766,14.7,0.0921,64.3,259.5,0.752,1.93,4.96089014540404,28.5,0.2,56.6,233.3,0.758,4.92,5.792682927,21.2833333333333,0.141679603960396,0.7545,4.27,4.46498510171317,29.2,0.2,0.765,8.62,5.792682927
"2","physiology",2,30,3,15,3,183.2,183,"H",864.6,28.3,0.134,30.2,126.2,0.761,4.22,4.25537511213684,22.8,0.145,36.8,131.6,0.763584158415842,5.31,4.293785311,16.7,0.104977623762376,74.7,269.6,0.723,2.63,6.349809886,14.5,0.0829,75.3,251.8,0.701,4.27,3.395784543,7.35,0.048,71.4,290.1,0.754,1.28,5.7421875,27.4,0.169,83.3,367.9,0.774,4.36,6.28440367,19.5083333333333,0.113979603960396,0.746097359735974,3.67833333333333,5.05355767035614,28.3,0.169,0.774,5.31,6.349809886
"3","physiology",4,30,2,10,1,226.1,226,"C",1367.1,25,0.115,44.4,173,0.743,3.82,4.25537511213684,23.6,0.119,38.8,164,0.763,4.41,5.351473923,13.4,0.104977623762376,73.8,285.4,0.741,7,1.914285714,19.4,0.115,81.5,314.1,0.74,5.94,3.265993266,10.9,0.0801,71.2,281.3,0.747,2.09,5.215311005,23.4,0.123,81.7,345.2,0.763,3.25,7.2,19.2833333333333,0.109512937293729,0.7495,4.41833333333333,4.53373983668947,25,0.123,0.763,7,7.2
"4","physiology",8,20,1,3,1,166.1,166,"L",659.1,15.3,0.0987,42.0079207920792,171.542,0.758,3.27,4.678899083,9.27,0.0868,46.9979591836735,203.307843137255,0.771,3.13,2.961661342,17.6,0.104977623762376,49.1,204.6,0.76,7.04,2.5,19.6,0.157,72.2,287.7,0.749,7.8,2.512820513,22.6,0.133,79.4,336.2,0.764,3.34,6.766467066,16.1,0.0848,68.9,295.2,0.767,2.22,7.252252252,16.745,0.110879603960396,0.7615,4.46666666666667,4.44535004266667,22.6,0.157,0.771,7.8,7.252252252
"5","physiology",12,10,2,6,4,247.4,247,"L",1777.1,20.2,0.107,38.2,146.3,0.739,3.81,5.30183727,8.24,0.0387,39.1,141.7,0.763584158415842,1.49,5.530201342,12.2,0.115,64.1,228.2,0.719,2.72,4.485294118,5.39,0.0432,59.3,180.4,NA,2.52,2.138888889,13.8,0.0847,55,217.1,0.747,2.21,6.244343891,8.35,0.0381,47,187.7,0.749,0.981,8.511722732,11.3633333333333,0.0711166666666667,0.743516831683168,2.2885,5.368714707,20.2,0.115,0.763584158415842,3.81,8.511722732
"6","physiology",15,30,1,5,7,259.6,259,"D",251.1,13.8,0.0968,36.3,147.6,0.754,3.3,4.181818182,12.1,0.082,49.4,193.5,0.745,3.18,3.805031447,11.8,0.17,59.3,237.4,0.75,4.24,2.783018868,12.6,0.112,55.3,193.4,0.714,6,2.1,8.24,0.105,61.4,233.6,0.737,2.75,2.996363636,20.9,0.119,63.9,269.6,0.763,2.74,7.627737226,13.24,0.114133333333333,0.743833333333333,3.70166666666667,3.91566155983333,20.9,0.17,0.763,6,7.627737226
"7","physiology",22,30,1,5,4,259.4,259,"D",947.5,13.3,0.0735,41.7,163.8,0.746,2.51,5.298804781,22.1,0.163,49.8,197.4,0.748,5.8,3.810344828,17.3,0.183,53,194.8,0.728,4.72,3.665254237,6.27,0.0603,54,191.8,0.718,3.56,1.761235955,5.05,0.0833019801980198,74.2,300.2,0.753,4.08,4.96089014540404,19.5,0.182,59.9,242.7,0.753,3.78,5.158730159,13.92,0.124183663366337,0.741,4.075,4.10921001756734,22.1,0.183,0.753,5.8,5.298804781
"8","physiology",25,25,1,4,1,252.1,252,"D",1873.4,11.2,0.0534,51,198.5,0.743,1.92,5.833333333,10.7,0.0662,46.9979591836735,313.4,0.765,2.55,4.196078431,23,0.119,63.3565656565657,253.828571428571,0.773,3.14,7.324840764,15.4199029126214,0.101682403846154,94.3,400.1,0.764,4.54169230769231,3.076923077,9.52,0.146,85.1,335.8,0.746,3.9,2.441025641,18.8,0.158,84.7,367.1,0.769,3.31,5.679758308,14.7733171521036,0.107380400641026,0.76,3.22694871794872,4.75865992566667,23,0.158,0.773,4.54169230769231,7.324840764
"9","physiology",28,15,3,12,7,183.4,183,"H",1138.5,16.3,0.0972,51.1,225.5,0.774,3.53,4.617563739,7.31,0.0333,44.5,180.6,0.754,1.36,5.375,22.8,0.159,69.8,310.9,0.775,4.21,5.41567696,16.2,0.0963,76.6,298,0.743,5.54,2.924187726,16.4,0.0838,94.9,379.9,0.75,2.41,6.804979253,17.4,0.0748,84,358.5,0.766,1.7,10.23529412,16.0683333333333,0.0907333333333333,0.760333333333333,3.125,5.89545029966667,22.8,0.159,0.775,5.54,10.23529412
"10","physiology",36,30,1,5,1,157.1,157,"E",1623.7,11.1,0.0689,39.3,151.8,0.741,2.46,4.512195122,19.9,0.126,38.3,138.3,0.763584158415842,4.71,4.225053079,16.4,0.132,42.4,179.6,0.764,3.56,4.606741573,16.5,0.136,48.5,198.7,0.756,7.43,2.220726783,12,0.103,63,245.6,0.744,2.98,4.026845638,19.4,0.13,70.7,287.3,0.754,2.75,7.054545455,15.8833333333333,0.115983333333333,0.75376402640264,3.98166666666667,4.44101794166667,19.9,0.136,0.764,7.43,7.054545455
"11","physiology",37,30,3,15,6,183.5,183,"H",1125.8,21.5,0.124,32.9,134.8,0.756,4.36,4.931192661,14,0.0814,54.5,231.5,0.765,3.21,4.361370717,10.6,0.076,70.1,236.2,0.755176470588235,2.09,5.071770335,10,0.0635,64.9,192.9,NA,3.92,2.551020408,12.4,0.0612,70.7,283.5,0.751,1.9,6.526315789,23.2,0.106,76.3,342.8,0.777,2.29,10.13100437,15.2833333333333,0.08535,0.760835294117647,2.96166666666667,5.59544571333333,23.2,0.124,0.777,4.36,10.13100437
"12","physiology",39,30,2,10,5,200.5,200,"D",2714.3,21.5,0.118,54.1,224.7,0.759,4.2,5.119047619,8.36,0.0544,53.5,228.4,0.766,2.14,3.906542056,15.2,0.0871,69.8,266.5,0.738,2.39,6.359832636,17.8,0.0847,70.3,259.8,0.729,4.93,3.610547667,7.01,0.0472,72.1,274,0.737,1.48,4.736486486,22.6,0.13,87.7,375,0.766,2.88,7.847222222,15.4116666666667,0.0869,0.749166666666667,3.00333333333333,5.263279781,22.6,0.13,0.766,4.93,7.847222222
"13","physiology",44,30,1,5,5,258.4,258,"E",498.2,4.97,0.0841,24.9,95.7,0.74,2.99,4.25537511213684,14,0.0758,36.9,147.9,0.751,3.03,4.620462046,22.9,0.155,50.2,209.7,0.76,4.26,5.375586854,16.1,0.13,53,206.7,0.744,7.13,2.258064516,3.13,0.0956,45,169.1,0.734,2.8,4.96089014540404,20.6,0.155,73.3,309.2,0.763,3.66,5.628415301,13.6166666666667,0.115916666666667,0.748666666666667,3.97833333333333,4.51646566242348,22.9,0.155,0.763,7.13,5.628415301
"14","physiology",47,20,1,3,7,157.7,157,"E",638.1,13,0.0937,38.3,160.8,0.762,3.31,3.927492447,23,0.123,57.4,212.9,0.73,4.69,4.904051173,31.4,0.174,50.2,207.4,0.758,4.81,6.528066528,17.3,0.17,50.7,198.6,0.745,8.87,1.950394589,14.5,0.143,78,319.2,0.756,4.19,3.460620525,12.2,0.102,87.9,369.9,0.762,2.69,4.535315985,18.5666666666667,0.134283333333333,0.752166666666667,4.76,4.2176568745,31.4,0.174,0.762,8.87,6.528066528
"15","physiology",50,25,2,9,5,244.5,244,"C",1057.5,13.6,0.0749,32.3,125.7,0.743,2.84,4.788732394,13,0.0716,33.4,124.3,0.732,2.88,4.513888889,25.6,0.143,47,201.3,0.767,4.01,6.3840399,15.4199029126214,0.173,64.8,250.4,0.741,9.25,3.32972973,23.4,0.13,84.8,332.3,0.745,3.83,6.109660574,24.5,0.118,100.6,424.8,0.763,3.12,7.852564103,19.2533171521036,0.118416666666667,0.7485,4.32166666666667,5.49643593166667,25.6,0.173,0.767,9.25,7.852564103
"16","physiology",51,20,2,8,4,231.3,231,"L",830.1,19.9,0.125,35.6,148.3,0.76,4.4,4.522727273,20.8,0.11,34.3,134,0.744,4.48,4.642857143,15.7415533980583,0.211,68,302.1,0.775,5.86,5.4778157,22.8,0.157,64.7,248.4,0.74,8.47,2.691853601,24.4,0.128,111.9,430.8,0.74,3.82,6.387434555,15.2,0.0757,105.2,450.4,0.766,2.18,6.972477064,19.806925566343,0.13445,0.754166666666667,4.86833333333333,5.11586088933333,24.4,0.211,0.775,8.47,6.972477064
"17","physiology",61,20,3,13,1,188.1,188,"H",906.8,17,0.138,50.7,204.6,0.752,4.87,3.490759754,22.9,0.158,46.9979591836735,301.7,0.757,5.96,3.842281879,15,0.0761,63.3565656565657,395.8,0.762,2.21,6.787330317,13.8,0.0795,93,374.1,0.751,4.81,2.869022869,15.6,0.0749,96.6,407.3,0.763,2.39,6.527196653,6.25,0.0353,95.8,426.1,0.775,1.05,5.952380952,15.0916666666667,0.0936333333333333,0.76,3.54833333333333,4.911495404,22.9,0.158,0.775,5.96,6.787330317
"18","physiology",63,10,1,1,5,162.5,162,"E",871.8,18.7,0.138,39,147.8,0.736,4.84,3.863636364,9.05,0.0787,46.3,202.1,0.771,3.22,2.810559006,9.02,0.0573,71.1,245,0.71,1.69,5.337278107,3.4,0.0348,69.5,174.2,NA,2.15,1.581395349,2.81,0.0339,40.4,144.7,0.721,1.05,2.676190476,6.42,0.0331,41.2,180.7,0.772,0.841,7.633769322,8.23333333333333,0.0626333333333333,0.742,2.2985,3.98380477066667,18.7,0.138,0.772,4.84,7.633769322
"19","physiology",71,15,2,7,1,247.1,247,"L",1059.5,14.1,0.0809,54.4,199.9,0.728,2.94,4.795918367,4.88,0.036,65,283.8,0.771,1.58,3.088607595,17.9,0.108,70.4,282.7,0.751,3.19,5.611285266,22.3,0.136,67,247.7,0.73,7.38,3.021680217,21.2,0.12,88.5,332.9,0.734,3.65,5.808219178,19.3,0.0947,92,403.1,0.772,2.4,8.041666667,16.6133333333333,0.0959333333333333,0.747666666666667,3.52333333333333,5.06122954833333,22.3,0.136,0.772,7.38,8.041666667
"20","physiology",73,15,1,2,1,172.1,172,"Q",2088.2,16,0.135,42.0079207920792,258.8,0.744,4.87,3.285420945,10.1,0.0523,26.4,102.5,0.743,2.22,4.54954955,12,0.179,65.5,297.8,0.78,5.23,2.294455067,17.4,0.155,70.2,290.3,0.758,8.3,2.096385542,11.6,0.0833019801980198,62.5,253.5,0.754,5.22,2.222222222,15.7,0.0693,65.8,270,0.756,1.77,8.870056497,13.8,0.11231699669967,0.755833333333333,4.60166666666667,3.88634830383333,17.4,0.179,0.78,8.3,8.870056497
"21","physiology",74,20,1,3,6,172.6,172,"Q",585.4,14.4,0.111,25.2,103.3,0.756,4.31,3.341067285,19.1,0.126,49.7,213.2,0.767,4.96,3.850806452,19.2,0.129,66.7,281.1,0.763,3.84,5,26,0.154,64,262.4,0.756,8.37,3.106332139,20.6,0.141,64,287.4,0.777,4.11,5.01216545,14.8,0.111,95.5,412.6,0.769,2.47,5.991902834,19.0166666666667,0.128666666666667,0.764666666666667,4.67666666666667,4.38371236,26,0.154,0.777,8.37,5.991902834
"22","physiology",76,30,3,15,5,196.3,196,"G",1958.3,15.1,0.119,46.4,198.2,0.766,4.78,3.158995816,17.5,0.131,46.9979591836735,203.307843137255,0.764,5.04,3.472222222,15.9,0.106,55.6,201.4,0.724,3.2,4.96875,11.8,0.0764,75.8,265,0.714,4.54,2.599118943,8.87,0.0492,74,273.9,0.73,1.62,5.475308642,23.3,0.154,87.1,395.5,0.78,3.14,7.420382166,15.4116666666667,0.105933333333333,0.746333333333333,3.72,4.51579629816667,23.3,0.154,0.78,5.04,7.420382166
"23","physiology",82,15,3,12,3,186.2,186,"G",2256.9,13.1,0.057,49.3,220.6,0.777,2.41,5.435684647,7.71,0.0382,57.4,218.4,0.737,1.57,4.910828025,17.1,0.103,60.2,270.2,0.777,3.21,5.327102804,17.4,0.114,57.9,232.6,0.751,6.34,2.744479495,25.4,0.119,85.8,358.6,0.761,3.59,7.075208914,11.4,0.0504,79.6,342.9,0.768,1.13,10.08849558,15.3516666666667,0.0802666666666667,0.761833333333333,3.04166666666667,5.93029991083333,25.4,0.119,0.777,6.34,10.08849558
"24","physiology",83,20,1,3,2,253.1,253,"Q",1119.7,12.9,0.111,21.7,80.5,0.731,4.28,3.014018692,22.4,0.136,28.2,111.9,0.748,4.94,4.534412955,15.4,0.14,47.9,204.1,0.765,4.39,3.507972665,23.1,0.157,75.5,325.9,0.768,8.37,2.759856631,15,0.0951,78.5,321.4,0.756,3,5,12,0.0706,71.8,317.8,0.774,1.74,6.896551724,16.8,0.118283333333333,0.757,4.45333333333333,4.28546877783333,23.1,0.157,0.774,8.37,6.896551724
"25","physiology",84,20,2,8,5,202.3,202,"L",1598.1,12,0.0683,39.4,169.4,0.768,2.79,4.301075269,24.8,0.133,41.7,174.6,0.761,4.94,5.020242915,27.4,0.154,51.3,204.5,0.749,4.86,5.637860082,19,0.0991,88.6,345.8,0.744,5.56,3.417266187,23.3,0.116,105,428,0.755,3.62,6.436464088,14.8,0.0659,99.5,413.1,0.759,1.57,9.426751592,20.2166666666667,0.10605,0.756,3.89,5.70661002216667,27.4,0.154,0.768,5.56,9.426751592
"26","physiology",88,20,3,13,7,196.7,196,"G",635.4,23.9,0.135,49.1,209.4,0.765,5.22,4.578544061,26.4,0.135,31.9,138.5,0.769,5.08,5.196850394,15.4,0.0995,86.9,390.6,0.778,3.25,4.738461538,12.6,0.0993,69.2,293.4,0.764,5.56,2.26618705,12.9,0.0576,87.5,342.3,0.744,1.91,6.753926702,8.69,0.0469,103.9,425.5,0.756,1.26,6.896825397,16.6483333333333,0.09555,0.762666666666667,3.71333333333333,5.07179919033333,26.4,0.135,0.778,5.56,6.896825397
"27","physiology",91,15,3,12,1,186.1,186,"G",932.5,15.3,0.0889,43.5,189.1,0.77,3.46,4.421965318,4.38,0.0271,55.6,247.1,0.775,1.19,3.680672269,22.4,0.119,69.6,321.5,0.783,3.95,5.670886076,18.5,0.105,75.5,323.1,0.766,5.75,3.217391304,18.8,0.0978,77.6,332.9,0.767,3.17,5.930599369,8.29,0.0435,97.1,441.5,0.78,1.23,6.739837398,14.6116666666667,0.0802166666666667,0.7735,3.125,4.94355862233333,22.4,0.119,0.783,5.75,6.739837398
"28","physiology",92,25,2,9,1,200.1,200,"C",1425.5,13.6,0.0764,35.3,145.1,0.757,3.01,4.518272425,19.6,0.106,42,169.1,0.751,4.11,4.768856448,15.7415533980583,0.223,48.1,212.7,0.774,7.35,4.789115646,21,0.124,93.8,378.1,0.752,6.5,3.230769231,14.0769902912621,0.136,95,386.7,0.754,4.13,6.537530266,22.8,0.117,116.4,500.7,0.767,3.04,7.5,17.8030906148867,0.1304,0.759166666666667,4.69,5.22409066933333,22.8,0.223,0.774,7.35,7.5
"29","physiology",93,25,3,14,6,196.6,196,"G",1639.6,17.7,0.0716,50,210.2,0.762,2.87,6.167247387,16.6,0.0901,51.5,230.7,0.777,3.25,5.107692308,21.2,0.142,91.8,253.828571428571,0.773,4.77,4.444444444,13.1,0.0818,98.3,387.9,0.747,4.62,2.835497835,12.9,0.0634,90.6,333.7,0.728,2.18,5.917431193,16.2,0.102,106.8,478.8,0.777,2.63,6.159695817,16.2833333333333,0.0918166666666667,0.760666666666667,3.38666666666667,5.10533483066667,21.2,0.142,0.777,4.77,6.167247387
"30","physiology",94,10,2,6,2,226.3,226,"C",1754.2,12.1,0.0592,53.6,221.9,0.759,2.39,5.062761506,5.89,0.0346,31.1,121.6,0.745,1.4,4.207142857,3.94,0.0227,50.9,202.9,0.749,0.825,4.775757576,2.7,0.0281,51.2,178.4,0.713,1.75,1.542857143,10.6,0.0479,52.4,182.4,0.713,1.55,6.838709677,5.41,0.0286,57.3,224.4,0.745,0.819,6.605616606,6.77333333333333,0.03685,0.737333333333333,1.45566666666667,4.83880756083333,12.1,0.0592,0.759,2.39,6.838709677
"31","physiology",97,30,1,5,2,251.2,251,"Q",644.1,12.2,0.085,43.8,184.1,0.762,3.29,3.708206687,18.4,0.11,52.5,216.5,0.758,4.16,4.423076923,18.1,0.117,52.4,206,0.746,4.21,4.299287411,17.4,0.135,65.3,248.9,0.737,7.15,2.433566434,9.44,0.0725,65.1,252.9,0.743,2.43,3.884773663,21.4,0.141,68.9,295.5,0.767,3.46,6.184971098,16.1566666666667,0.110083333333333,0.752166666666667,4.11666666666667,4.155647036,21.4,0.141,0.767,7.15,6.184971098
"32","physiology",98,15,1,2,3,253.2,253,"Q",533.8,13,0.0776,39.3,136.5,0.756264705882353,2.93,4.436860068,5.28,0.0356,41.9,174.5,0.76,1.48,3.567567568,15.3,0.109,45.3,201,0.775,3.93,3.893129771,9.03,0.0699,40.9,147.6,0.723,4.09,2.207823961,13.8,0.0948,55.2,224.9,0.754,3.25,4.246153846,14.9,0.0652,58.9,243.6,0.758,1.68,8.869047619,11.885,0.07535,0.754377450980392,2.89333333333333,4.5367638055,15.3,0.109,0.775,4.09,8.869047619
"33","physiology",99,25,3,14,7,186.6,186,"G",677,22.8,0.126,41.5,163.9,0.747,4.81,4.74012474,29.6,0.174,42.7,183.8,0.768,6.18,4.789644013,23.1,0.149,91,253.828571428571,0.785,5.36,4.309701493,16.3,0.0927,79.7,314,0.746,5.22,3.122605364,11.8,0.0601,89.3,342.4,0.739,2.24,5.267857143,18.7,0.0924,91.2,394.3,0.769,2.38,7.857142857,20.3833333333333,0.1157,0.759,4.365,5.01451260166667,29.6,0.174,0.785,6.18,7.857142857
