"","measure","pot","trt","geno","combo","rep","tcid","parent","block","SM","Anet5_0907","gs5_0907","fo5_0907","fm5_0907","fv5_0907","E5_0907","WUEi5_0907","Anet6_0913","gs6_0913","fo6_0913","fm6_0913","fv6_0913","E6_0913","WUEi6_0913","Anet7_0920","gs7_0920","fo7_0920","fm7_0920","fv7_0920","E7_0920","WUEi7_0920","Anet8_0925","gs8_0925","fo8_0925","fm8_0925","fv8_0925","E8_0925","WUEi8_0925","Anet9_1004","gs9_1004","fo9_1004","fm9_1004","fv9_1004","E9_1004","WUEi9_1004","Anet10_1011","gs10_1011","fo10_1011","fm10_1011","fv10_1011","E10_1011","WUEi10_1011","uAnet","ugs","ufv","uE","uWUEi","max_Anet","max_gs","max_fv","max_E","max_WUEi"
"69","physiology",205,10,2,6,3,246.3,246,"A",1631.8,7.57,0.0234,38.7,149.1,0.74,1.28,5.9140625,3.15,0.0459,53.1,199,0.733,2.23,4.26554489883495,2.13,0.0214,58.4,223.2,0.738,1.04,2.048076923,3.93,0.0256,36.1,136.2,0.735,1.1,3.572727273,14.0769902912621,0.0833019801980198,37.8,126.9,0.742333333333333,2.93492079207921,4.96089014540404,6.17,0.024,44.6,175.9,0.747,0.795,7.761006289,6.17116504854369,0.03726699669967,0.739222222222222,1.5633201320132,4.75371800487317,14.0769902912621,0.0833019801980198,0.747,2.93492079207921,7.761006289
"70","physiology",207,15,2,7,3,248.1,248,"N",1705.3,11.5,0.0742,47.4,185.7,0.745,3.41,3.372434018,9.38,0.0433,51.4,210.7,0.756,2.13,4.403755869,11.5,0.0681,70.7,285.8,0.753,3.11,3.697749196,13.9,0.102,54,231,0.766,4.13,3.365617433,21.1,0.0946,44.6,161.2,0.723,3.36,6.279761905,18.9,0.0871,108.5,446.1,0.757,2.65,7.132075472,14.38,0.0782166666666667,0.75,3.13166666666667,4.70856564883333,21.1,0.102,0.766,4.13,7.132075472
"71","physiology",208,25,2,9,4,228.4,228,"N",1294.6,15.5,0.208,31.7,138.9,0.772,4.34032673267327,1.810747664,23.5,0.146,67.2,296.5,0.773,6.22,3.778135048,30.5,0.191,60,241,0.751,3.78150485436893,4.013157895,21.8,0.128,96.2,395.3,0.757,4.82,4.522821577,15.5,0.0902,110.2,421.8,0.739,3.33,4.654654655,21.2,0.112,102.8,425.5,0.758,3.38,6.272189349,21.3333333333333,0.145866666666667,0.758333333333333,4.3119719311737,4.17528436466667,30.5,0.208,0.773,6.22,6.272189349
"72","physiology",211,10,3,11,5,176.4,176,"T",1406.3,6.61,0.042,43.2,195.4,0.779,1.79,3.69273743,2.81,0.0245,52.9,226.9,0.767,1.2,2.341666667,2.55,0.0162,72.7,303.4,0.761,0.777,3.281853282,4.93,0.0305,62.6,247.2,0.747,1.31,3.763358779,11.8,0.0501,60.2,210.9,0.715,1.98,5.95959596,11.1,0.0459,68.7,293.2,0.766,1.41,7.872340426,6.63333333333333,0.0348666666666667,0.755833333333333,1.41116666666667,4.48525875733333,11.8,0.0501,0.779,1.98,7.872340426
"73","physiology",217,20,1,3,3,165.1,165,"K",735.4,12.5,0.0992,41.1,166.5,0.753,3.88,3.221649485,12.2,0.109,49.4,213.4,0.768,4.61,2.646420824,15.7,0.0986,54.8,225.8,0.757,4.55,3.450549451,21.7,0.139,60.2,263.9,0.772,5.56,3.902877698,13.9,0.0718,74.2,320.1,0.768,2.83,4.911660777,10.8,0.0623,75.4,319.3,0.764,2.06,5.242718447,14.4666666666667,0.09665,0.763666666666667,3.915,3.895979447,21.7,0.139,0.772,5.56,5.242718447
"74","physiology",220,30,3,15,4,194.2,194,"T",2067.1,29.7,0.189,63.3,171.542,0.772,6.83,4.348462665,24.4,0.15,44.4,190.7,0.767,6.45,3.782945736,10.9,0.0675,91.6,348.4,0.737,3.12,3.493589744,14.4,0.109,81.8,306.9,0.734,4.33,3.325635104,10.7,0.0494,87.8,350,0.749,1.93,5.544041451,20.5,0.102,95,415.8,0.771,2.94,6.972789116,18.4333333333333,0.11115,0.755,4.26666666666667,4.577910636,29.7,0.189,0.772,6.83,6.972789116
"75","physiology",230,10,2,6,6,246.5,246,"A",1666.7,26.2,0.167,38.3,154.5,0.752,6.63,3.95173454,5.89,0.0346,37.9,165,0.77,1.69,3.485207101,6.83,0.0351,54.8,144.8,0.755176470588235,1.69,4.041420118,6.68,0.0418,57.8,181.7,NA,1.87,3.572192513,5.2,0.029,50.3,157.9,0.742333333333333,1.15,4.52173913,2.24,0.024,47.6,194.2,0.755,0.778,2.879177378,8.84,0.05525,0.754901960784314,2.30133333333333,3.74191179666667,26.2,0.167,0.77,6.63,4.52173913
"76","physiology",231,15,2,7,6,230.4,230,"A",853.7,18,0.119,39.2,151.5,0.741,4.83,3.726708075,3.09,0.0133,51.7,232.5,0.778,0.63,4.904761905,19.2,0.0832,68,263.2,0.742,3.75,5.12,22.7,0.12,65,270.4,0.76,5.01,4.530938124,14.5,0.0891,60.6,245.2,0.753,3.48,4.166666667,10.4,0.0502,95.5,380.7,0.749,1.61,6.459627329,14.6483333333333,0.0791333333333333,0.753833333333333,3.21833333333333,4.81811701666667,22.7,0.12,0.778,5.01,6.459627329
"77","physiology",233,30,2,10,6,231.5,231,"M",1572.9,19.8,0.139,54.4,228.1,0.762,5.51,3.593466425,13.9,0.0727,46.9,200,0.766,3.38,4.112426036,18.4,0.129,77.9,286,0.728,5.42,3.394833948,18.8,0.113,80.3,254.4,NA,4.8,3.916666667,18.7,0.111,90.8,366.5,0.752,4.1,4.56097561,16.4,0.0958,95.8,416.8,0.77,2.97,5.521885522,17.6666666666667,0.110083333333333,0.7556,4.36333333333333,4.18337570133333,19.8,0.139,0.77,5.51,5.521885522
"78","physiology",234,30,3,15,7,182.5,182,"S",2054,17.2734951456311,0.112794174757282,43.1,196.1,0.78,8.16,4.87745098,24.9,0.15,66.6,308.5,0.784,6.3,3.952380952,19.7,0.123,66.4,221,0.755176470588235,5.15,3.825242718,15,0.0842,76.1,259.1,0.706,3.74,4.010695187,9.35,0.0435,76.9,252.9,0.742333333333333,1.68,5.56547619,19.9,0.0935,78.2,330.4,0.763,2.77,7.184115523,17.6872491909385,0.10116569579288,0.755084967320261,4.63333333333333,4.90256025833333,24.9,0.15,0.784,8.16,7.184115523
"79","physiology",236,30,2,10,7,231.6,231,"M",1729.7,24.4,0.162,30.8,128,0.759,6.64,3.674698795,21,0.142,61.7,277.6,0.778,6.01,3.494176373,18.6,0.11,63.3565656565657,367,0.744,4.56,4.078947368,14.4,0.0947,54.4,196.9,0.724,4.24,3.396226415,18.6,0.102,94.1,355,0.735,3.75,4.96,14.9,0.0823,95.2,410.9,0.768,2.52,5.912698413,18.65,0.1155,0.751333333333333,4.62,4.25279122733333,24.4,0.162,0.778,6.64,5.912698413
"80","physiology",255,30,3,15,1,182.1,182,"S",640.9,31.3,0.2,35.8,158.4,0.774,7.86,3.982188295,25.1,0.175,50.3,228.3,0.78,7.06,3.555240793,14.2,0.104,58.5,218.2,0.732,4.26,3.333333333,12.1,0.0794,95.3,337.3,0.718,3.55,3.408450704,9.08,0.0442,86.9,338.6,0.743,1.78,5.101123596,10.5,0.083,83.1,374.2,0.778,2.61,4.022988506,17.0466666666667,0.114266666666667,0.754166666666667,4.52,3.9005542045,31.3,0.2,0.78,7.86,5.101123596
"81","physiology",259,10,1,1,4,173.4,173,"J",2524.8,16.8,0.134,58.2,255.2,0.772,5.45,3.082568807,7.4,0.038,50.8,193.5,0.737,1.7,4.352941176,4.04,0.0412,59.9,250.2,0.761,1.86,2.172043011,9.33,0.0435,57.1,223.7,0.745,1.99,4.688442211,10.2,0.0822,40.5,161,0.749,2.95,3.457627119,6.61,0.0345,61.9,260,0.762,1.1,6.009090909,9.06333333333333,0.0622333333333333,0.754333333333333,2.50833333333333,3.9604522055,16.8,0.134,0.772,5.45,6.009090909
"82","physiology",260,30,1,5,3,173.3,173,"J",1717.3,27.4,0.179,31,120.1,0.742,7,3.914285714,29.5,0.17,62.6,276.8,0.774,6.59,4.476479514,19.5,0.152,58.4,234.5,0.751,6.03,3.233830846,15.2,0.101,61.3,231,0.735,4.58,3.318777293,11.3,0.0766,62.5,221.4,0.718,2.98,3.791946309,12.3,0.241,70.4,272.4,0.741,6.86,1.793002915,19.2,0.153266666666667,0.7435,5.67333333333333,3.4213870985,29.5,0.241,0.774,7,4.476479514
"83","physiology",263,30,2,10,3,201.2,201,"M",306.9,27.9,0.191,47.8,204.9,0.767,7.58,3.680738786,15.0237368932039,0.0919061538461538,40.4,179.2,0.775,7.55,4.609271523,26,0.159,76,313.8,0.758,6.22,4.180064309,21,0.168,75.2,262.9,0.714,7.29,2.880658436,17.4,0.0802,85.4,342.3,0.75,3.12,5.576923077,27.3,0.18,94.1,392.5,0.76,5.08,5.374015748,22.4372894822006,0.145017692307692,0.754,6.14,4.38361197983333,27.9,0.191,0.775,7.58,5.576923077
"84","physiology",264,25,1,4,5,156.3,156,"J",1918.1,29.7,0.157,41.6,175.8,0.763,6.34,4.684542587,15.9,0.129,43.2,192.4,0.776,4.81,3.305613306,22.2,0.132,64.2,265.7,0.759,5.12,4.3359375,17.5,0.159,54.3,211.2,0.743,6.89,2.539912917,11.2,0.0833019801980198,68,283.4,0.76,2.93492079207921,4.96089014540404,12.4,0.107,77,325.8,0.764,3.17,3.911671924,18.15,0.127883663366337,0.760833333333333,4.87748679867987,3.95642806323401,29.7,0.159,0.776,6.89,4.96089014540404
"85","physiology",266,15,1,2,2,173.1,173,"J",2823.5,24.2,0.135,23.2,102.1,0.773,5.44,4.448529412,12.2,0.0539,40.9,168,0.756,2.16,5.648148148,21.2,0.103,44.9,188.5,0.762,4.14,5.120772947,23.1,0.108,43.2,170.9,0.747,5.09,4.538310413,16.4,0.109,69.4,276.9,0.75,4.07,4.029484029,4.02,0.0245,70.7,293.6,0.759,0.828,4.855072464,16.8533333333333,0.0889,0.757833333333333,3.62133333333333,4.7733862355,24.2,0.135,0.773,5.44,5.648148148
"86","physiology",268,30,2,10,4,245.4,245,"M",1333,20,0.13,38.5,165.9,0.768,5.11,3.913894325,17.7,0.104,46.9979591836735,320.3,0.771,3.93,4.503816794,12.9,0.0888,74.7,295.3,0.747,3.7,3.486486486,14.5,0.0865,79,305.4,0.741,4.18,3.468899522,18.7,0.105,105.3,403.5,0.739,4.15,4.506024096,29.8,0.188,108.5,460.5,0.765,5.36,5.559701493,18.9333333333333,0.11705,0.755166666666667,4.405,4.239803786,29.8,0.188,0.771,5.36,5.559701493
"87","physiology",271,20,2,8,6,245.5,245,"M",3648.8,19,0.105,53.4,209.8,0.746,4.05,4.691358025,16.4,0.0753,48.8,204.1,0.761,2.92,5.616438356,13.8,0.0625,66.3,271.2,0.755,2.67,5.168539326,19.4,0.129,64.5,272,0.763,6.03,3.217247098,16.3,0.076,94.6,332.5,0.716,2.98,5.469798658,18.7,0.107,90.9,384.9,0.764,3.33,5.615615616,17.2666666666667,0.0924666666666667,0.750833333333333,3.66333333333333,4.96316617983333,19.4,0.129,0.764,6.03,5.616438356
"88","physiology",276,15,3,12,6,185.3,185,"J",591.4,3.96,0.0234,29,117.5,0.753,0.873,4.536082474,10.1,0.0438,32.9,144,0.771,1.67,6.047904192,9.82,0.0612,73.7,307.6,0.76,2.4,4.091666667,9.63,0.0552,61.8,266.6,0.768,2.86,3.367132867,12.3,0.0693,70.3,257.9,0.727,2.79,4.408602151,5.73,0.0375,82.5,358.1,0.77,1.25,4.584,8.59,0.0484,0.758166666666667,1.97383333333333,4.5058980585,12.3,0.0693,0.771,2.86,6.047904192
"89","physiology",278,20,2,8,2,225.1,225,"M",1402.4,17.9,0.123,45.9,197.2,0.767,4.4,4.068181818,14.5,0.0703,54.3,233.6,0.768,2.7,5.37037037,13.6,0.0886,63.4,263.7,0.759,3.72,3.655913978,24.1,0.134,84.9,319.9,0.735,6.22,3.874598071,16.8,0.0948,100,361.5,0.723,3.83,4.386422977,11.1,0.0504,110,437.4,0.749,1.69,6.568047337,16.3333333333333,0.0935166666666667,0.750166666666667,3.76,4.65392242516667,24.1,0.134,0.768,6.22,6.568047337
"90","physiology",281,25,2,9,2,225.2,225,"M",2439,20.1,0.109,40.8,182.1,0.776,3.97,5.062972292,20.9,0.102,55.7,234.4,0.762,3.8,5.5,19,0.0998,63.9,263.9,0.758,3.98,4.773869347,22.8,0.136,89.9,345.4,0.74,6.3,3.619047619,14.1,0.0638,86,301.4,0.715,2.68,5.26119403,18.4,0.0804,91,379.7,0.76,2.61,7.049808429,19.2166666666667,0.0985,0.751833333333333,3.89,5.2111486195,22.8,0.136,0.776,6.3,7.049808429
"91","physiology",282,15,2,7,5,229.3,229,"M",728.9,12.6,0.0609,61.2,171.542,0.778,2.39,5.271966527,10.1,0.0518,42.3,179.1,0.764,2.07,4.879227053,14.2,0.0883,64.4,266.6,0.758,3.56,3.988764045,16.8,0.106,59.4,226.7,0.738,5.16,3.255813953,17.8,0.0994,59.7,203.7,0.707,3.96,4.494949495,12.9,0.0557,92.3,382.3,0.759,1.89,6.825396825,14.0666666666667,0.0770166666666667,0.750666666666667,3.17166666666667,4.78601964966667,17.8,0.106,0.778,5.16,6.825396825
"92","physiology",288,20,1,3,5,304.2,304,"N",563.4,20.6,0.12,30,119.4,0.749,4.56,4.51754386,16.8,0.14,51.7,228.3,0.774,5.16,3.255813953,19.5,0.126,70.8,287.7,0.754,5.02,3.884462151,24.4,0.138,75.7,320.4,0.764,6.44,3.788819876,19.5,0.136,76.5,296.3,0.742,2.93492079207921,3.644859813,14.4,0.0804,110.9,482.2,0.77,2.68,5.373134328,19.2,0.1234,0.758833333333333,4.4658201320132,4.07743899683333,24.4,0.14,0.774,6.44,5.373134328
"93","physiology",293,30,3,15,2,295.1,295,"I",1494.6,23.3,0.132,49.6,216.5,0.771,4.8,4.854166667,28.2,0.159,51.5,230,0.776,5.86,4.812286689,11.8,0.0716,77.8,295.7,0.737,3,3.933333333,6.63,0.0481,79.6,293.6,0.729,2.45,2.706122449,11.5,0.0675,75.8,295.7,0.744,2.82,4.078014184,23.4,0.147,83.4,380.8,0.781,4.4,5.318181818,17.4716666666667,0.1042,0.756333333333333,3.88833333333333,4.28368419,28.2,0.159,0.781,5.86,5.318181818
"94","physiology",295,25,2,9,7,228.8,228,"N",1684.4,11.2,0.0573,43.4,159.8,0.729,2.09,5.358851675,23.4,0.11,50.5,234.3,0.785,4.14,5.652173913,16.8,0.0974,71.4,273.5,0.739,4.18,4.019138756,25.5,0.147,83.5,346.4,NA,6.58,3.875379939,21.7,0.106,96.1,350.4,0.726,4.37,4.965675057,24.9,0.151,111.6,474.1,0.765,4.5,5.533333333,20.5833333333333,0.11145,0.7488,4.31,4.90075877883333,25.5,0.151,0.785,6.58,5.652173913
"95","physiology",296,30,2,10,2,228.1,228,"N",986.8,16.5,0.17,28.1,104.8,0.731,6.02,2.740863787,17.7,0.13,52.7,218.7,0.759,4.98,3.554216867,23,0.152,61.4,262.2,0.766,6.19,3.715670436,7.61,0.0364,58.7,208.3,0.718,1.87,4.069518717,14.6,0.0773,89.1,362,0.754,3.27,4.464831804,21.6,0.124,95.8,415.3,0.769,3.8,5.684210526,16.835,0.11495,0.7495,4.355,4.0382186895,23,0.17,0.769,6.19,5.684210526
"96","physiology",297,10,3,11,4,296.2,296,"I",593.2,23.6,0.118,42.0079207920792,171.542,0.768,4.45,5.303370787,8.11,0.038,63.8,286.9,0.778,1.64,4.945121951,3.34,0.0168,66.8,263.4,0.746,0.798,4.185463659,4.19,0.0197,47.7,150.2,0.682,1.06,3.952830189,11.3,0.0532,61.8,240.1,0.743,2.24,5.044642857,2.41,0.0208,67.1,289.8,0.768,0.713,3.380084151,8.825,0.0444166666666667,0.7475,1.81683333333333,4.468585599,23.6,0.118,0.778,4.45,5.303370787
"97","physiology",299,20,2,8,7,248.5,248,"N",2199.1,20.6,0.126,54.1,221.7,0.756,4.55,4.527472527,15.4,0.0726,62,269.8,0.77,2.82,5.460992908,18.8,0.0953,68,288.8,0.765,4.24,4.433962264,27.1,0.162,77.9,302.2,0.742,6.97,3.888091822,22.8,0.117,73.8682692307692,434.2,0.728,4.89,4.662576687,12.1,0.054,97.5,403,0.758,1.88,6.436170213,19.4666666666667,0.104483333333333,0.753166666666667,4.225,4.9015444035,27.1,0.162,0.77,6.97,6.436170213
"98","physiology",302,25,1,4,6,163.4,163,"P",778,10.5,0.0688,34.4,149.6,0.77,2.5,4.2,21.8,0.16,59.2,266.4,0.778,5.84,3.732876712,20,0.145,83.4,363.1,0.77,5.92,3.378378378,19.5,0.165,90.8,372.8,0.756,7.24,2.693370166,20.1,0.133,85.7,341.5,0.749,2.93492079207921,3.661202186,9.35,0.14,86.6,364,0.762,4.26,2.194835681,16.875,0.1353,0.764166666666667,4.78248679867987,3.3101105205,21.8,0.165,0.778,7.24,4.2
"99","physiology",307,15,1,2,5,306.4,306,"P",1513.3,3.11,0.0869,37.7,156.9,0.759,2.88,4.25537511213684,10.2,0.0983,38.9,170,0.771,3.84,2.65625,15.9,0.0959,63.3565656565657,148.8,0.768,4.17,3.81294964,15.3,0.0809,35,141,0.752,4.13,3.704600484,18.8,0.101,53.8,202.9,0.735,4.22,4.454976303,7.17,0.03,69.8,271.1,0.743,1.08,6.638888889,11.7466666666667,0.0821666666666667,0.754666666666667,3.38666666666667,4.25384007135614,18.8,0.101,0.771,4.22,6.638888889
"100","physiology",309,25,1,4,7,163.5,163,"P",952.3,21.2,0.101,44.5,191,0.767,3.8,5.578947368,29.6,0.182,36.2,150.7,0.76,6.83,4.333821376,27.6,0.182,61.9,280.9,0.78,7.45,3.704697987,22.2,0.154,70.9,293.5,0.759,7.15,3.104895105,16.7,0.119,81.6,318.4,0.744,4.98,3.353413655,15.6,0.131,77,328,0.765,4.07,3.832923833,22.15,0.144833333333333,0.7625,5.71333333333333,3.98478322066667,29.6,0.182,0.78,7.45,5.578947368
"101","physiology",311,10,2,6,7,229.5,229,"N",3366.8,11.6,0.0635,31.8,122.6,0.74,2.38,4.87394958,9.08,0.0531,46.3,201.9,0.771,2.34,3.88034188,3.04,0.0124,73.7,258.7,0.715,0.578,5.259515571,4.06,0.0297,65.1,247.9,0.737,1.63,2.490797546,8.81,0.0535,62,227.9,0.728,2.39,3.686192469,8.65,0.0382,70.7,290.8,0.757,1.32,6.553030303,7.54,0.0417333333333333,0.741333333333333,1.773,4.45730455816667,11.6,0.0635,0.771,2.39,6.553030303
"102","physiology",315,20,1,3,4,170.1,170,"P",972,18.5,0.102,26.5,108.5,0.755,3.79,4.881266491,15.0237368932039,0.183,53.2,238.8,0.777,7.23,4.633471646,28.4,0.179,72.4,323.7,0.776,7.04,4.034090909,26.1,0.187,92.5,381.8,0.758,8.45,3.088757396,18,0.103,91.7,395.9,0.768,4.21,4.275534442,25.2,0.17,90.4,407.3,0.778,5.13,4.912280702,21.870622815534,0.154,0.768666666666667,5.975,4.30423359766667,28.4,0.187,0.778,8.45,4.912280702
"103","physiology",320,20,3,13,6,296.6,296,"I",1276,25.7,0.135,55.3,242.2,0.772,4.94,5.20242915,16.1,0.118,53.9,254.7,0.788,4.98,3.232931727,17.6,0.0922,89.1,253.828571428571,0.786,4.11,4.282238443,21.4,0.127,67.2,275.8,0.756,5.93,3.608768971,17.8,0.0937,104.2,431.8,0.759,3.8,4.684210526,10.6,0.0597,90,425.3,0.788,2.14,4.953271028,18.2,0.104266666666667,0.774833333333333,4.31666666666667,4.3273083075,25.7,0.135,0.788,5.93,5.20242915
"104","physiology",323,25,3,14,2,295.4,295,"I",1165.8,22.1,0.124,41.8,181.1,0.769,4.54,4.86784141,27.5,0.159,55.8,254.7,0.781,6.43,4.276827372,24.7,0.136,92.8,253.828571428571,0.781,5.46,4.523809524,13.7,0.0863,74.4,277.8,0.732,4.27,3.208430913,7.26,0.0386,95.7,374.4,0.744,1.69,4.295857988,5.36,0.03,92.7,423,0.781,1.13,4.743362832,16.77,0.09565,0.764666666666667,3.92,4.3193550065,27.5,0.159,0.781,6.43,4.86784141
"105","physiology",324,15,2,7,7,229.4,229,"N",1037.1,22.3,0.121,43.9,172.8,0.746,4.5,4.955555556,7.29,0.0495,55,226.7,0.757,2.31,3.155844156,13.2,0.086,66.8,277.8,0.759,3.76,3.510638298,28,0.16,64.6,266.6,0.758,7.49,3.738317757,23.2,0.12,82.9,322.4,0.743,4.55,5.098901099,10.1,0.0432,87.7,357.5,0.755,1.49,6.77852349,17.3483333333333,0.0966166666666667,0.753,4.01666666666667,4.53963005933333,28,0.16,0.759,7.49,6.77852349
