date,phase,subset,action,bar_height,label_pos,month
2014-06-16,1 Acclimation under misters,All plants,Transfer from tissue culture,3,3.2,
2014-06-17,1 Acclimation under misters,None,None,,,
2014-06-18,1 Acclimation under misters,None,None,,,
2014-06-19,1 Acclimation under misters,None,None,,,
2014-06-20,1 Acclimation under misters,None,None,,,
2014-06-21,1 Acclimation under misters,None,None,,,
2014-06-22,1 Acclimation under misters,None,None,,,
2014-06-23,1 Acclimation under misters,None,None,,,
2014-06-24,1 Acclimation under misters,None,None,,,
2014-06-25,1 Acclimation under misters,None,None,,,
2014-06-26,1 Acclimation under misters,None,None,,,
2014-06-27,1 Acclimation under misters,None,None,,,
2014-06-28,1 Acclimation under misters,None,None,,,
2014-06-29,1 Acclimation under misters,None,None,,,
2014-06-30,1 Acclimation under misters,None,None,,,
2014-07-01,1 Acclimation under misters,None,None,,,Jul
2014-07-02,1 Acclimation under misters,None,None,,,
2014-07-03,1 Acclimation under misters,None,None,,,
2014-07-04,1 Acclimation under misters,None,None,,,
2014-07-05,1 Acclimation under misters,None,None,,,
2014-07-06,1 Acclimation under misters,None,None,,,
2014-07-07,1 Acclimation under misters,None,None,,,
2014-07-08,1 Acclimation under misters,None,None,,,
2014-07-09,1 Acclimation under misters,None,None,,,
2014-07-10,1 Acclimation under misters,None,None,,,
2014-07-11,1 Acclimation under misters,None,None,,,
2014-07-12,1 Acclimation under misters,None,None,,,
2014-07-13,1 Acclimation under misters,None,None,,,
2014-07-14,1 Acclimation under misters,None,None,,,
2014-07-15,1 Acclimation under misters,None,None,,,
2014-07-16,1 Acclimation under misters,None,None,,,
2014-07-17,1 Acclimation under misters,None,None,,,
2014-07-18,1 Acclimation under misters,None,None,,,
2014-07-19,1 Acclimation under misters,None,None,,,
2014-07-20,1 Acclimation under misters,None,None,,,
2014-07-21,1 Acclimation under misters,None,None,,,
2014-07-22,1 Acclimation under misters,None,None,,,
2014-07-23,1 Acclimation under misters,None,None,,,
2014-07-24,1 Acclimation under misters,None,None,,,
2014-07-25,1 Acclimation under misters,None,None,,,
2014-07-26,1 Acclimation under misters,None,None,,,
2014-07-27,1 Acclimation under misters,None,None,,,
2014-07-28,2 Acclimation to pots,All plants,Transfer to pots from misters,3,3.2,
2014-07-29,2 Acclimation to pots,None,None,,,
2014-07-30,2 Acclimation to pots,None,None,,,
2014-07-31,2 Acclimation to pots,None,None,,,
2014-08-01,2 Acclimation to pots,None,None,,,Aug
2014-08-02,2 Acclimation to pots,None,None,,,
2014-08-03,2 Acclimation to pots,None,None,,,
2014-08-04,2 Acclimation to pots,None,None,,,
2014-08-05,2 Acclimation to pots,None,None,,,
2014-08-06,2 Acclimation to pots,None,None,,,
2014-08-07,2 Acclimation to pots,None,None,,,
2014-08-08,2 Acclimation to pots,None,None,,,
2014-08-09,2 Acclimation to pots,None,None,,,
2014-08-10,2 Acclimation to pots,None,None,,,
2014-08-11,2 Acclimation to pots,None,None,,,
2014-08-12,2 Acclimation to pots,None,None,,,
2014-08-13,2 Acclimation to pots,None,None,,,
2014-08-14,2 Acclimation to pots,None,None,,,
2014-08-15,2 Acclimation to pots,None,None,,,
2014-08-16,2 Acclimation to pots,None,None,,,
2014-08-17,2 Acclimation to pots,None,None,,,
2014-08-18,2 Acclimation to pots,None,None,,,
2014-08-19,2 Acclimation to pots,None,None,,,
2014-08-20,2 Acclimation to pots,None,None,,,
2014-08-21,2 Acclimation to pots,All plants,Height measurement,1.5,,
2014-08-22,2 Acclimation to pots,None,None,,,
2014-08-23,2 Acclimation to pots,None,None,,,
2014-08-24,2 Acclimation to pots,None,None,,,
2014-08-25,2 Acclimation to pots,None,None,,,
2014-08-26,3 Drought Treatment,None,None,,,
2014-08-27,3 Drought Treatment,None,None,,,
2014-08-28,3 Drought Treatment,None,None,,,
2014-08-29,3 Drought Treatment,None,None,,,
2014-08-30,3 Drought Treatment,None,None,,,
2014-08-31,3 Drought Treatment,None,None,,,
2014-09-01,3 Drought Treatment,None,None,,,Sep
2014-09-02,3 Drought Treatment,None,None,,,
2014-09-03,3 Drought Treatment,None,None,,,
2014-09-04,3 Drought Treatment,All plants,Height measurement,1.5,,
2014-09-05,3 Drought Treatment,None,None,,,
2014-09-06,3 Drought Treatment,None,None,,,
2014-09-07,3 Drought Treatment,Instantaneous / Recovery plants,Instantaneous measurements,-0.5,,
2014-09-08,3 Drought Treatment,None,None,,,
2014-09-09,3 Drought Treatment,None,None,,,
2014-09-10,3 Drought Treatment,None,None,,,
2014-09-11,3 Drought Treatment,None,None,,,
2014-09-12,3 Drought Treatment,None,None,,,
2014-09-13,3 Drought Treatment,Instantaneous / Recovery plants,Instantaneous measurements,-0.5,,
2014-09-14,3 Drought Treatment,None,None,,,
2014-09-15,3 Drought Treatment,None,None,,,
2014-09-16,3 Drought Treatment,None,None,,,
2014-09-17,3 Drought Treatment,None,None,,,
2014-09-18,3 Drought Treatment,All plants,Height measurement,1.5,2.2,
2014-09-19,3 Drought Treatment,None,None,,,
2014-09-20,3 Drought Treatment,Instantaneous / Recovery plants,Instantaneous measurements,-0.5,-2.2,
2014-09-21,3 Drought Treatment,None,None,,,
2014-09-22,3 Drought Treatment,None,None,,,
2014-09-23,3 Drought Treatment,None,None,,,
2014-09-24,3 Drought Treatment,None,None,,,
2014-09-25,3 Drought Treatment,Instantaneous / Recovery plants,Instantaneous measurements,-0.5,,
2014-09-26,3 Drought Treatment,All plants,Height measurement,1.5,,
2014-09-27,3 Drought Treatment,None,None,,,
2014-09-28,3 Drought Treatment,None,None,,,
2014-09-29,3 Drought Treatment,None,None,,,
2014-09-30,3 Drought Treatment,None,None,,,
2014-10-01,3 Drought Treatment,None,None,,,Oct
2014-10-02,3 Drought Treatment,All plants,Height measurement,1.5,,
2014-10-03,3 Drought Treatment,None,None,,,
2014-10-04,3 Drought Treatment,Instantaneous / Recovery plants,Instantaneous measurements,-0.5,,
2014-10-05,3 Drought Treatment,None,None,,,
2014-10-06,3 Drought Treatment,None,None,,,
2014-10-07,3 Drought Treatment,None,None,,,
2014-10-08,3 Drought Treatment,None,None,,,
2014-10-09,3 Drought Treatment,All plants,Height measurement,1.5,,
2014-10-10,3 Drought Treatment,None,None,,,
2014-10-11,3 Drought Treatment,Instantaneous / Recovery plants,Instantaneous measurements,-0.5,,
2014-10-12,3 Drought Treatment,None,None,,,
2014-10-13,3 Drought Treatment,None,None,,,
2014-10-14,3 Drought Treatment,None,None,,,
2014-10-15,3 Drought Treatment,All plants,Height measurement,1.5,,
2014-10-16,4 Recovery Treatment,Cumulative plants,Biomass measurements,-0.5,-0.95,
2014-10-17,4 Recovery Treatment,None,None,,,
2014-10-18,4 Recovery Treatment,None,None,,,
2014-10-19,4 Recovery Treatment,None,None,,,
2014-10-20,4 Recovery Treatment,None,None,,,
2014-10-21,4 Recovery Treatment,None,None,,,
2014-10-22,4 Recovery Treatment,None,None,,,
2014-10-23,4 Recovery Treatment,Instantaneous / Recovery plants,Height measurement,1.5,,
2014-10-24,4 Recovery Treatment,None,None,,,
2014-10-25,4 Recovery Treatment,None,None,,,
2014-10-26,4 Recovery Treatment,None,None,,,
2014-10-27,4 Recovery Treatment,None,None,,,
2014-10-28,4 Recovery Treatment,None,None,,,
2014-10-29,4 Recovery Treatment,None,None,,,
2014-10-30,4 Recovery Treatment,None,None,,,
2014-10-31,4 Recovery Treatment,None,None,,,
2014-11-01,4 Recovery Treatment,None,None,,,Nov
2014-11-02,4 Recovery Treatment,None,None,,,
2014-11-03,4 Recovery Treatment,None,None,,,
2014-11-04,4 Recovery Treatment,Instantaneous / Recovery plants,Height measurement,1.5,,
2014-11-05,4 Recovery Treatment,None,None,,,
2014-11-06,4 Recovery Treatment,None,None,,,
2014-11-07,4 Recovery Treatment,None,None,,,
2014-11-08,4 Recovery Treatment,None,None,,,
2014-11-09,4 Recovery Treatment,None,None,,,
2014-11-10,4 Recovery Treatment,None,None,,,
2014-11-11,4 Recovery Treatment,Instantaneous / Recovery plants,Height measurement,1.5,,
2014-11-12,4 Recovery Treatment,None,None,,,
2014-11-13,4 Recovery Treatment,None,None,,,
2014-11-14,4 Recovery Treatment,None,None,,,
2014-11-15,4 Recovery Treatment,None,None,,,
2014-11-16,4 Recovery Treatment,None,None,,,
2014-11-17,4 Recovery Treatment,Instantaneous / Recovery plants,Height measurement,1.5,,
2014-11-18,4 Recovery Treatment,None,None,,,
2014-11-19,4 Recovery Treatment,None,None,,,
2014-11-20,4 Recovery Treatment,None,None,,,
2014-11-21,4 Recovery Treatment,None,None,,,
2014-11-22,4 Recovery Treatment,None,None,,,
2014-11-23,4 Recovery Treatment,None,None,,,
2014-11-24,4 Recovery Treatment,Instantaneous / Recovery plants,Height measurement,1.5,,
2014-11-25,4 Recovery Treatment,Instantaneous / Recovery plants,Biomass measurements,-0.5,,